title,studio,lifetime_gross,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,releaseYear,releaseMonth,primaryTitle,numVotes,directors,category,primaryName,runtimeMinutes
The Lincoln Lawyer,LGF,58009200,movie,249924,10,1,7.3,r,10,3.6,lincoln lawyer  the (2011),crime|drama|thriller,2011,3,The Lincoln Lawyer,249620,nm1026778,actor,Matthew McConaughey,118
Unforgettable,MGM,2821671,movie,5853,10,1,6.0,r,3,3.0,unforgettable (1996),mystery|sci-fi|thriller,1996,2,Unforgettable,5846,nm0001093,actor,Ray Liotta,117
Dirty Pretty Things,Mira.,8112414,movie,43738,10,1,7.3,r,12,3.63,dirty pretty things (2002),crime|drama|thriller,2003,9,Dirty Pretty Things,43709,nm0001241,actor,Chiwetel Ejiofor,97
Sherlock Holmes,WB,209028679,movie,658806,10,1,7.6,pg-13,58,3.85,sherlock holmes (2009),action|crime|mystery|thriller,2009,12,Sherlock Holmes,658113,nm0005363,actor,Robert Downey Jr.,128
Bulletproof Monk,MGM,23358708,movie,51677,10,1,5.4,pg-13,11,2.41,bulletproof monk (2003),action|adventure|sci-fi,2003,4,Bulletproof Monk,51660,nm0402995,actor,Chow Yun-Fat,104
Cold Creek Manor,BV,21386011,movie,24372,10,1,5.0,r,1,2.5,cold creek manor (2003),drama|thriller,2003,9,Cold Creek Manor,24338,nm0001214,actor,Dennis Quaid,118
Closer,Sony,33987757,movie,231762,10,1,7.2,r,16,3.72,closer (2004),drama|romance,2004,12,Closer,231334,nm0001566,actress,Natalie Portman,104
The Crow,Mira.,50693129,movie,194839,10,1,7.5,r,64,3.61,crow  the (1994),action|crime|fantasy|thriller,1994,5,The Crow,194496,nm0001639,actor,Brandon Lee,102
Paprika,SPC,882267,movie,92337,10,1,7.7,r,9,3.78,paprika (papurika) (2006),animation|mystery|sci-fi,2007,6,Paprika,92030,nm0464804,actress,Megumi Hayashibara,90
Under the Tuscan Sun,BV,43610723,movie,56418,10,1,6.7,pg-13,9,3.28,under the tuscan sun (2003),comedy|drama|romance,2003,9,Under the Tuscan Sun,56329,nm0920108,actress,Diane Lane,113
Meet the Spartans,Fox,38233676,movie,110767,10,1,2.8,pg-13,3,2.5,meet the spartans (2008),comedy,2008,1,Meet the Spartans,110715,"nm0294997,nm0783536",actor,Sean Maguire,87
Gandhi,Col.,52767889,"","","","","","",27,3.83,gandhi (1982),drama,"","",Gandhi,237950,nm0000277,actor,Ben Kingsley,191
Collateral,DW,101005703,movie,425140,10,1,7.5,r,44,3.76,collateral (2004),action|crime|drama|thriller,2004,8,Collateral,424644,nm0000520,actor,Tom Cruise,120
Quicksilver,Col.,7634909,movie,5150,10,1,5.7,pg,4,2.63,quicksilver (1986),drama,1986,2,Quicksilver,5138,nm0232777,actor,Kevin Bacon,105
The Enforcer,WB,46236000,movie,48286,10,1,6.7,r,1,4.0,enforcer  the (1976),crime,1976,12,The Enforcer,48200,nm0267309,actor,Clint Eastwood,96
A Walk to Remember,WB,41281092,movie,218429,10,1,7.3,pg,14,3.5,walk to remember  a (2002),drama|romance,2002,1,A Walk to Remember,218283,nm0788202,actress,Mandy Moore,101
Drowning by Numbers,Mira.,424773,movie,10713,10,1,7.2,r,1,4.0,drowning by numbers (1988),comedy|drama,"","",Drowning by Numbers,10693,nm0000425,actor,Bernard Hill,118
D2: The Mighty Ducks,BV,45610410,movie,42344,10,1,6.1,pg,6,2.58,d2: the mighty ducks (1994),children|comedy,1994,3,D2: The Mighty Ducks,42291,nm0918873,actor,Emilio Estevez,106
Frisk,Strand,87433,movie,724,10,1,4.9,unrated,1,3.0,frisk (1995),drama,1996,3,Frisk,723,nm0894812,actor,Michael Gunther,88
Three Men and a Baby,BV,167780960,movie,56811,10,1,6.1,pg,19,2.82,three men and a baby (1987),comedy,1987,11,Three Men and a Baby,56722,nm0000559,actor,Tom Selleck,102
Once Upon a Time... When We Were Colored,Leg.,2291255,movie,557,10,1,7.4,pg,1,3.0,once upon a time... when we were colored (1995),drama|romance,1996,1,Once Upon a Time... When We Were Colored,554,nm0005347,actor,Al Freeman Jr.,115
Star Wars: Episode I - The Phantom Menace,Fox,474544677,movie,840295,10,1,6.5,pg,140,3.11,star wars: episode i - the phantom menace (1999),action|adventure|sci-fi,1999,5,Star Wars: Episode I - The Phantom Menace,839356,nm0000184,actor,Ewan McGregor,136
Click,SonR,137355633,movie,349156,10,1,6.4,pg-13,23,2.98,click (2006),adventure|comedy|drama|fantasy|romance,2006,6,Click,348655,nm0178997,actor,Adam Sandler,107
Pirates of the Caribbean: Dead Men Tell No Tales,BV,172558876,movie,335398,10,1,6.5,pg-13,7,3.79,pirates of the caribbean: dead men tell no tales (2017),(no genres listed),2017,5,Pirates of the Caribbean: Dead Men Tell No Tales,334699,"nm1650283,nm1461392",actor,Johnny Depp,129
Death Wish II,Film,16100000,movie,17490,10,1,6.0,r,3,1.67,death wish 2 (1982),action|drama,1982,2,Death Wish II,17445,nm0935382,actor,Charles Bronson,89
Shining Through,Fox,21633781,movie,10549,10,1,6.4,r,1,1.5,shining through (1992),drama|romance|thriller|war,1992,1,Shining Through,10535,nm0783544,actor,Michael Douglas,132
Bound by Honor,BV,4496583,movie,33318,10,1,7.9,r,1,4.0,blood in  blood out (1993),action|crime|drama|thriller,1993,4,Bound by Honor,33275,nm0000431,actor,Damian Chapa,180
Kull the Conqueror,Uni.,6112613,movie,8652,10,1,4.8,pg-13,3,2.33,kull the conqueror (1997),action|adventure,1997,8,Kull the Conqueror,8641,nm0630372,actor,Kevin Sorbo,95
Ride with the Devil,USA,635096,movie,14389,10,1,6.7,r,4,3.88,ride with the devil (1999),drama|romance|war,1999,11,Ride with the Devil,14380,nm0000487,actor,Tobey Maguire,138
Hacksaw Ridge,LGF,67209615,"","","","","","",8,3.94,hacksaw ridge (2016),drama|war,"","",Hacksaw Ridge,572219,nm0000154,actor,Andrew Garfield,139
Philomena,Wein.,37709979,movie,102929,10,1,7.6,pg-13,2,3.25,philomena (2013),comedy|drama,2013,11,Philomena,102861,nm0001241,actress,Judi Dench,98
Risky Business,WB,63541777,"","","","","","",42,3.44,risky business (1983),comedy,"","",Risky Business,97659,nm0001887,actor,Tom Cruise,99
Hush,Sony,13583690,"","","","","","",3,2.67,hush (2016),thriller,"","",Hush,149427,nm1093039,actor,John Gallagher Jr.,82
Last Tango in Paris,UA,36144000,movie,57122,10,1,6.9,nc-17,5,4.5,last tango in paris (ultimo tango a parigi) (1972),drama|romance,1973,2,Last Tango in Paris,57021,nm0000934,actor,Marlon Brando,129
Field of Dreams,Uni.,64431625,movie,125454,10,1,7.5,pg,56,3.52,field of dreams (1989),children|drama|fantasy,1989,5,Field of Dreams,125293,nm0004675,actor,Kevin Costner,107
Cold Mountain,Mira.,95636509,movie,153978,10,1,7.2,r,12,3.29,cold mountain (2003),drama|romance|war,2003,12,Cold Mountain,153818,nm0005237,actor,Jude Law,154
There Will Be Blood,ParV,40222514,movie,624576,10,1,8.2,r,28,4.14,there will be blood (2007),drama|western,2008,1,There Will Be Blood,623216,nm0000759,actor,Daniel Day-Lewis,158
Dead Snow,IFC,46742,movie,69261,10,1,6.3,not rated,4,4.25,dead snow (død snø) (2009),action|adventure|comedy|horror,2009,1,Dead Snow,69210,nm2482088,actor,Jeppe Beck Laursen,92
"20,000 Days on Earth",Drft.,279558,movie,11852,10,1,7.4,not rated,1,4.0,20 000 days on earth (2014),documentary|drama|musical,2014,11,"20,000 Days on Earth",11845,"nm3558632,nm3558886",actor,Nick Cave,97
Flashback,Par.,6488114,movie,5695,10,1,6.2,r,1,4.5,flashback (1990),action|adventure|comedy|crime|drama,1990,2,Flashback,5691,nm0002171,actor,Dennis Hopper,108
Scream,Dim.,103046663,movie,379844,10,1,7.4,r,70,3.2,scream (1996),comedy|horror|mystery|thriller,1996,12,Scream,378119,nm0000127,actress,Neve Campbell,111
Tender Mercies,Uni.,8443124,movie,11692,10,1,7.3,pg,5,3.4,tender mercies (1983),drama|romance|western,1983,3,Tender Mercies,11665,nm0000915,actor,Robert Duvall,92
Dragon: The Bruce Lee Story,Uni.,35113743,movie,32377,10,1,7.0,pg-13,8,2.81,dragon: the bruce lee story (1993),action|drama,1993,5,Dragon: The Bruce Lee Story,32361,nm0003418,actor,Jason Scott Lee,120
Big Eden,Jour,512451,movie,4825,10,1,7.3,pg-13,1,4.5,big eden (2000),drama|romance,2000,4,Big Eden,4820,nm0080120,actor,Arye Gross,118
Howl,Osci.,617334,movie,13320,10,1,6.6,r,1,3.5,howl (2010),drama,2010,8,Howl,13319,"nm0295243,nm0258531",actor,James Franco,84
Mr. Nice Guy,NL,12716953,"","","","","","",8,2.56,mr. nice guy (yat goh ho yan) (1997),action|comedy,"","",Mr. Nice Guy,28382,nm0005033,actor,Jackie Chan,101
Kiss of the Dragon,Fox,36845124,movie,65876,10,1,6.6,r,9,3.78,kiss of the dragon (2001),action,2001,7,Kiss of the Dragon,65840,nm0619599,actor,Jet Li,98
Saw 3D,LGF,45710178,movie,107211,10,1,5.5,r,1,4.5,saw vii 3d - the final chapter (2010),horror|mystery|thriller,2010,10,Saw 3D,106718,nm0340436,actor,Tobin Bell,90
UHF,Orion,6157157,movie,30814,10,1,6.9,pg-13,9,3.44,uhf (1989),comedy,1989,7,UHF,30767,nm0505409,actor,'Weird Al' Yankovic,97
Toys,Fox,23278931,movie,33214,10,1,5.1,pg-13,20,2.38,toys (1992),comedy|fantasy,1992,12,Toys,33173,nm0001469,actor,Robin Williams,118
The Red Violin,Lions,9495408,"","","","","","",19,4.03,red violin  the (violon rouge  le) (1998),drama|mystery,"","",The Red Violin,34131,nm0320660,actor,Carlo Cecchi,130
Rivers and Tides,Roxie,2200276,movie,2452,10,1,7.9,tv-g,1,5.0,rivers and tides (2001),documentary,2002,3,Rivers and Tides,2449,nm0726123,self,Andy Goldsworthy,90
Snow Angels,WIP,402858,movie,13057,10,1,6.8,r,1,3.0,snow angels (2007),drama,2008,3,Snow Angels,13050,nm0337773,actress,Kate Beckinsale,107
The Help,BV,169708112,movie,482531,10,1,8.1,pg-13,21,3.83,help  the (2011),drama,2011,8,The Help,481857,nm0853238,actress,Viola Davis,146
Mr. Holland's Opus,BV,82569971,movie,41189,10,1,7.3,pg,80,3.71,mr. holland's opus (1995),drama,1996,1,Mr. Holland's Opus,41159,nm0378893,actor,Richard Dreyfuss,143
The Cotton Club,Orion,25928721,movie,19137,10,1,6.5,r,2,3.25,cotton club  the (1984),crime|musical,1984,12,The Cotton Club,19101,nm0000338,actor,Richard Gere,129
End of Days,Uni.,66889043,movie,115420,10,1,5.8,r,15,2.7,end of days (1999),action|fantasy|horror|mystery|thriller,1999,11,End of Days,115297,nm0001382,actor,Arnold Schwarzenegger,122
Mud,RAtt.,21590086,movie,186281,10,1,7.4,pg-13,3,4.33,mud (2012),adventure|crime|drama,2013,5,Mud,186040,nm2158772,actor,Matthew McConaughey,130
National Lampoon's Animal House,Uni.,141600000,movie,127231,10,1,7.4,r,62,3.69,animal house (1978),comedy,1978,7,National Lampoon's Animal House,127107,nm0000484,actor,John Belushi,109
Mischief,Fox,8692426,movie,6850,10,1,6.5,r,1,2.5,mischief (1985),comedy|romance,1985,2,Mischief,6833,nm0198991,actor,Doug McKeon,100
The Five Senses,FL,497091,movie,3137,10,1,6.7,r,1,5.0,five senses  the (1999),drama,1999,12,The Five Senses,3135,nm0687964,actress,Molly Parker,106
21,Sony,81159365,movie,262942,10,1,6.8,pg-13,18,3.75,21 (2008),crime|drama|romance|thriller,2008,3,21,262704,nm0525659,actor,Jim Sturgess,123
Look Who's Talking Now,TriS,10340263,movie,30522,10,1,4.4,pg-13,6,1.58,look who's talking now (1993),children|comedy|romance,1993,11,Look Who's Talking Now,30494,nm0740568,actor,John Travolta,96
Sausage Party,Sony,97685686,movie,205918,10,1,6.1,r,7,3.64,sausage party (2016),animation|comedy,2016,8,Sausage Party,205570,"nm0970447,nm0862911",actor,Seth Rogen,89
The Nut Job,ORF,64251541,movie,29778,10,1,5.7,pg,3,4.33,nut job  the (2014),adventure|animation|children|comedy,2014,1,The Nut Job,29758,nm0503259,actor,Will Arnett,85
Close Encounters of the Third Kind,Col.,135189114,movie,212594,10,1,7.6,pg,60,3.74,close encounters of the third kind (1977),adventure|drama|sci-fi,1977,12,Close Encounters of the Third Kind,212345,nm0000229,actor,Richard Dreyfuss,138
The Exorcism of Emily Rose,SGem,75072454,"","","","","","",6,2.92,exorcism of emily rose  the (2005),crime|drama|horror|thriller,"","",The Exorcism of Emily Rose,137643,nm0220600,actress,Laura Linney,119
Top Secret!,Par.,20458340,movie,71351,10,1,7.2,pg,10,4.2,top secret! (1984),comedy,1984,6,Top Secret!,71225,"nm0000720,nm0001878,nm0958387",actor,Val Kilmer,90
Everybody's Famous!,Mira.,81734,movie,3317,10,1,6.9,r,1,2.0,everybody's famous! (iedereen beroemd!) (2000),comedy|drama|musical,2000,4,Everybody's Famous!,3316,nm0220652,actor,Josse De Pauw,97
The Family Man,Uni.,75793305,"","","","","","",23,3.13,family man  the (2000),comedy|drama|romance,"","",The Family Man,115554,nm0711840,actor,Nicolas Cage,125
Avengers: Age of Ultron,BV,459005868,movie,904614,10,1,7.3,pg-13,27,3.52,avengers: age of ultron (2015),action|adventure|sci-fi,2015,5,Avengers: Age of Ultron,903275,nm0923736,actor,Robert Downey Jr.,141
A Million Ways to Die in the West,Uni.,43139300,movie,195708,10,1,6.1,r,12,2.96,a million ways to die in the west (2014),comedy|western,2014,5,A Million Ways to Die in the West,195540,nm0532235,actor,Seth MacFarlane,116
Dressed to Kill,Orion,31899000,movie,46498,10,1,7.1,r,1,1.0,dressed to kill (1980),mystery|thriller,1980,7,Dressed to Kill,46340,nm0000361,actor,Michael Caine,104
Powder,BV,30862156,"","","","","","",28,3.13,powder (1995),drama|sci-fi,"","",Powder,32048,nm0759207,actress,Mary Steenburgen,111
Extract,Mira.,10823158,movie,49905,10,1,6.1,r,2,2.0,extract (2009),comedy,2009,9,Extract,49877,nm0431918,actor,Jason Bateman,92
Man's Best Friend,NL,12974636,movie,4755,10,1,5.2,r,2,1.5,man's best friend (1993),horror|sci-fi|thriller,1993,11,Man's Best Friend,4750,nm0480843,actress,Ally Sheedy,87
Conan the Barbarian,Uni.,39565475,movie,159097,10,1,6.9,r,31,3.26,conan the barbarian (1982),action|adventure|fantasy,1982,5,Conan the Barbarian,158879,nm0587518,actor,Arnold Schwarzenegger,129
Tommy Boy,Par.,32679899,"","","","","","",50,3.78,tommy boy (1995),comedy,"","",Tommy Boy,94770,nm0781842,actor,Chris Farley,97
Lethal Weapon 2,WB,147253986,"","","","","","",47,3.18,lethal weapon 2 (1989),action|comedy|crime|drama,"","",Lethal Weapon 2,185027,nm0001149,actor,Mel Gibson,114
Dr. Dolittle 2,Fox,112952899,movie,46781,10,1,4.7,pg,11,2.36,dr. dolittle 2 (2001),comedy,2001,6,Dr. Dolittle 2,46750,nm0139867,actor,Eddie Murphy,87
Movie 43,Rela.,8840453,movie,110522,10,1,4.3,r,3,3.5,movie 43 (2013),comedy,2013,1,Movie 43,110351,"nm1158962,nm0139867,nm0001162,nm0006969,nm2086105,nm0348181,nm2455747,nm0711840,nm0109359,nm0192090,nm0644022,nm1743387,nm0268380",actress,Emma Stone,94
Charly,Excel,814666,"","","","","","",1,4.0,charly (1968),drama|sci-fi,"","",Charly,7154,nm0625680,actor,Cliff Robertson,103
Rocky IV,UA,127873716,movie,221805,10,1,6.9,pg,29,2.71,rocky iv (1985),action|drama,1985,11,Rocky IV,221396,nm0000230,actor,Sylvester Stallone,91
The Incredibles,BV,261441092,movie,785521,10,1,8.0,pg,125,3.84,incredibles  the (2004),action|adventure|animation|children|comedy,2004,11,The Incredibles,783997,nm0083348,actor,Craig T. Nelson,115
Tammy,WB (NL),84525432,movie,54109,10,1,4.9,r,2,2.0,tammy (2014),comedy,2014,7,Tammy,54022,nm1229520,actress,Melissa McCarthy,97
Man Trouble,Fox,4096030,movie,3428,10,1,4.7,pg-13,1,2.0,man trouble (1992),comedy|romance,1992,7,Man Trouble,3426,nm0706182,actor,Jack Nicholson,100
The Texas Chainsaw Massacre,N/A,30859000,movie,150405,10,1,6.2,r,7,1.86,texas chainsaw massacre  the (2003),horror,2003,10,The Texas Chainsaw Massacre,150152,nm1197971,actress,Jessica Biel,98
Snowpiercer,RTWC,4563650,movie,380554,10,1,7.1,r,21,3.43,snowpiercer (2013),action|drama|sci-fi,2014,7,Snowpiercer,379866,nm0094435,actor,Chris Evans,126
Red Heat,TriS,34994648,movie,74762,10,1,6.1,r,3,2.67,red heat (1988),action,1988,6,Red Heat,74642,nm0001353,actor,Arnold Schwarzenegger,104
Can't Hardly Wait,Sony,25605015,movie,53268,10,1,6.5,pg-13,15,3.33,can't hardly wait (1998),comedy|drama|romance,1998,6,Can't Hardly Wait,53201,"nm0253323,nm0438226",actress,Jennifer Love Hewitt,100
Equilibrium,Dim.,1203794,movie,342790,10,1,7.3,r,44,3.88,equilibrium (2002),action|sci-fi|thriller,2002,12,Equilibrium,342497,nm0934483,actor,Christian Bale,107
The Stepford Wives,Par.,59484742,"","","","","","",11,3.18,stepford wives  the (1975),mystery|sci-fi|thriller,"","",The Stepford Wives,19129,nm0285302,actress,Katharine Ross,115
Sudden Death,Uni.,20350171,movie,36423,10,1,5.8,r,16,3.13,sudden death (1995),action,1995,12,Sudden Death,36394,nm0001382,actor,Jean-Claude Van Damme,111
Empire,Uni.,17600423,movie,7810,10,1,5.9,r,1,4.5,empire (2002),crime|drama,2002,12,Empire,7806,nm0721279,actor,John Leguizamo,90
Youth in Revolt,W/Dim.,15281286,movie,75655,10,1,6.4,r,5,3.0,youth in revolt (2009),comedy|drama|romance,2010,1,Youth in Revolt,75627,nm0037708,actor,Michael Cera,90
North,Col.,7182747,movie,14556,10,1,4.5,pg,7,2.21,north (1994),comedy,1994,7,North,14549,nm0001661,actor,Elijah Wood,87
Lost and Delirious,Lions,307233,movie,22043,10,1,6.8,r,4,3.63,lost and delirious (2001),drama,2001,9,Lost and Delirious,22028,nm0690794,actress,Piper Perabo,103
A Midnight Clear,Istr,1526697,movie,9537,10,1,7.1,r,2,3.75,midnight clear  a (1992),drama|war,1992,4,A Midnight Clear,9524,nm0330360,actor,Peter Berg,108
Lucky You,WB,5758950,movie,21047,10,1,5.9,pg-13,1,3.0,lucky you (2007),comedy|drama,2007,5,Lucky You,21024,nm0000436,actor,Eric Bana,124
Accepted,Uni.,36323505,movie,138494,10,1,6.4,pg-13,14,2.93,accepted (2006),comedy,2006,8,Accepted,138337,nm0684336,actor,Justin Long,93
It's All Gone Pete Tong,Mats.,120620,movie,20506,10,1,7.2,r,3,3.17,it's all gone pete tong (2004),comedy|drama|musical,2005,5,It's All Gone Pete Tong,20494,nm0236226,actor,Paul Kaye,90
A Mighty Heart,ParV,9176787,movie,28100,10,1,6.6,r,1,3.5,mighty heart  a (2007),drama|thriller,2007,6,A Mighty Heart,28088,nm0935863,actress,Angelina Jolie,108
Spiral,Cohen,8190,"","","","","","",1,3.0,spiral (2018),documentary,"","",Spiral,81,nm1357953,archive_footage,Dieudonné,79
Prince of Persia: The Sands of Time,BV,90759676,movie,300073,10,1,6.6,pg-13,13,2.88,prince of persia: the sands of time (2010),action|adventure|fantasy|romance|imax,2010,5,Prince of Persia: The Sands of Time,299813,nm0001565,actor,Jake Gyllenhaal,116
Shaun the Sheep Movie,LGF,19375982,movie,42653,10,1,7.3,pg,2,3.0,shaun the sheep movie (2015),adventure|animation|children|comedy,2015,8,Shaun the Sheep Movie,42598,"nm0123666,nm0326450",actor,Justin Fletcher,85
Digging Up the Marrow,HF,10969,"","","","","","",1,3.0,digging up the marrow (2014),drama|fantasy|horror|mystery|thriller,"","",Digging Up the Marrow,5680,nm1697112,actor,Ray Wise,89
Frank,Magn.,645186,movie,81560,10,1,6.9,r,3,4.33,frank (2014),comedy|drama|mystery,2014,9,Frank,81486,nm1049433,actor,Michael Fassbender,95
Transformers: Age of Extinction,Par.,245439076,movie,327774,10,1,5.6,pg-13,4,1.88,transformers: age of extinction (2014),action|adventure|sci-fi,2014,6,Transformers: Age of Extinction,327522,nm0000881,actor,Mark Wahlberg,165
Masterminds,Sony,1935539,movie,3738,10,1,5.2,pg-13,1,4.0,masterminds (1997),action|comedy|thriller,1997,8,Masterminds,3736,nm0002337,actor,Patrick Stewart,106
The Benchwarmers,SonR,59843754,movie,54097,10,1,5.5,pg-13,11,2.77,benchwarmers  the (2006),comedy,2006,4,The Benchwarmers,54052,nm0240797,actor,David Spade,85
The Dish,WB,2552992,movie,16902,10,1,7.2,pg-13,7,4.0,dish  the (2001),comedy,2001,5,The Dish,16888,nm0803203,actor,Sam Neill,101
Woman in Gold,Wein.,33307793,movie,62049,10,1,7.3,pg-13,1,4.0,woman in gold (2015),drama,2015,4,Woman in Gold,61859,nm0193508,actress,Helen Mirren,109
Iron Eagle,TriS,24159872,"","","","","","",7,2.29,iron eagle (1986),action|war,"","",Iron Eagle,15552,nm0002089,actor,Louis Gossett Jr.,117
Village of the Damned,Uni.,9418365,movie,33725,10,1,5.6,r,12,2.83,village of the damned (1995),horror|sci-fi,1995,4,Village of the Damned,33688,nm0000118,actor,Christopher Reeve,98
L.A. Slasher,AD,2421,movie,957,10,1,3.2,r,1,5.0,l.a. slasher (2015),comedy|crime|fantasy,2016,6,L.A. Slasher,956,nm1966532,actor,Andy Dick,84
Girl 6,FoxS,4939939,movie,6562,10,1,5.3,r,4,3.0,girl 6 (1996),comedy|drama,1996,3,Girl 6,6559,nm0000490,actress,Theresa Randle,108
"Crouching Tiger, Hidden Dragon",SPC,128078872,"","","","","","",110,3.84,crouching tiger  hidden dragon (wo hu cang long) (2000),action|drama|romance,"","","Crouching Tiger, Hidden Dragon",278232,nm0000487,actor,Chow Yun-Fat,120
Ice Princess,BV,24402491,movie,28517,10,1,6.0,g,4,3.38,ice princess (2005),children|comedy|drama,2005,3,Ice Princess,28482,nm0299563,actress,Michelle Trachtenberg,98
Greenfingers,IDP,1443067,movie,6442,10,1,6.8,r,1,1.5,greenfingers (2000),comedy|drama,2001,9,Greenfingers,6440,nm0380957,actor,Clive Owen,91
American Me,Uni.,13086430,movie,10069,10,1,7.1,r,3,2.5,american me (1992),drama,1992,3,American Me,10056,nm0001579,actor,Edward James Olmos,125
The Unknown Known,RTWC,276497,"","","","","","",1,4.0,unknown known  the (2013),documentary,"","",The Unknown Known,4239,nm0001554,self,Donald Rumsfeld,103
The Power of One,WB,2827107,movie,10520,10,1,7.1,pg-13,1,4.0,power of one  the (1992),drama,1992,3,The Power of One,10506,nm0000814,actor,Stephen Dorff,127
The Tracey Fragments,Think,32645,movie,7664,10,1,6.0,r,1,3.0,tracey fragments  the (2007),drama,2008,2,The Tracey Fragments,7662,nm0567680,actor,Elliot Page,77
When a Stranger Calls,SGem,47860214,"","","","","","",2,2.5,when a stranger calls (1979),horror|thriller,"","",When a Stranger Calls,13868,nm0910510,actress,Carol Kane,97
Running Scared,NL,6855137,movie,14393,10,1,6.5,r,8,3.56,running scared (1986),action|comedy,1986,6,Running Scared,14368,nm0001382,actor,Gregory Hines,107
The Weather Underground,Shad.,564632,movie,3731,10,1,7.5,unrated,4,4.0,weather underground  the (2002),documentary,2003,11,The Weather Underground,3729,"nm0796903,nm0338316",actress,Lili Taylor,92
Millennium,Fox,5777099,"","","","","","",3,2.0,millennium (1989),drama|sci-fi|thriller,"","",Millennium,6807,nm0027183,actor,Kris Kristofferson,108
Every Which Way But Loose,WB,85196485,movie,29350,10,1,6.3,pg,3,3.0,every which way but loose (1978),comedy,1978,12,Every Which Way But Loose,29303,nm0267309,actor,Clint Eastwood,114
Nothing in Common,TriS,32324557,movie,7700,10,1,5.9,pg,6,2.75,nothing in common (1986),comedy,1986,7,Nothing in Common,7694,nm0005190,actor,Tom Hanks,118
Divided We Fall,SPC,1328815,movie,5328,10,1,7.6,pg-13,3,3.83,divided we fall (musíme si pomáhat) (2000),comedy|drama,2000,3,Divided We Fall,5322,nm0398575,actor,Bolek Polívka,120
The Switch,Mira.,27779426,movie,110779,10,1,6.1,pg-13,6,2.67,switch  the (2010),comedy|romance,2010,8,The Switch,110653,"nm0330347,nm0817447",actress,Jennifer Aniston,101
The Crucible,Fox,7343114,movie,39614,10,1,6.8,pg-13,5,3.9,crucible  the (1996),drama,1996,11,The Crucible,39542,nm0405336,actor,Daniel Day-Lewis,124
Laws of Attraction,NL,17871255,movie,24259,10,1,5.8,pg-13,4,2.75,laws of attraction (2004),comedy|romance,2004,4,Laws of Attraction,24229,nm0398185,actor,Pierce Brosnan,90
The Island,DW,35818913,movie,12349,10,1,7.8,pg-13,1,4.0,the island (2006),drama|mystery,2006,11,The Island,12340,nm0526732,actor,Pyotr Mamonov,112
Lions for Lambs,UA,15002854,movie,51874,10,1,6.2,r,2,4.0,lions for lambs (2007),drama|thriller|war,2007,11,Lions for Lambs,51825,nm0000602,actor,Tom Cruise,92
The Watch,Fox,35353000,movie,131773,10,1,5.7,r,9,3.0,watch  the (2012),comedy|sci-fi,2012,7,The Watch,131679,nm1676223,actor,Ben Stiller,102
Year of the Dragon,MGM,18707466,movie,17175,10,1,6.8,r,1,2.5,year of the dragon (1985),action|crime|drama,1985,8,Year of the Dragon,17145,nm0001047,actor,Mickey Rourke,134
King Kong Lives,DEG,4711220,movie,6583,10,1,3.9,pg-13,1,2.0,king kong lives (1986),adventure|sci-fi,1986,12,King Kong Lives,6580,"nm0347086,nm1635724",actor,Brian Kerwin,105
Birthday Girl,Mira.,5142576,movie,26151,10,1,6.0,r,5,2.8,birthday girl (2001),drama|romance,2002,2,Birthday Girl,26135,nm0125336,actress,Nicole Kidman,93
The Believer,IDP,416925,movie,40395,10,1,7.1,r,6,4.25,believer  the (2001),drama,2001,8,The Believer,40341,nm0063785,actor,Ryan Gosling,98
An American Carol,Viv.,7013191,movie,10037,10,1,4.0,pg-13,1,2.0,american carol  an (2008),comedy|fantasy,2008,10,An American Carol,10035,nm0001878,actor,Kevin P. Farley,83
The Princess Diaries 2: Royal Engagement,BV,95170481,movie,86990,10,1,5.8,g,7,2.5,princess diaries 2: royal engagement  the (2004),comedy|romance,2004,8,The Princess Diaries 2: Royal Engagement,86832,nm0005190,actress,Anne Hathaway,113
The Duchess,ParV,13848978,movie,86380,10,1,6.9,pg-13,4,3.5,duchess  the (2008),drama|romance,2008,10,The Duchess,86301,nm1314116,actress,Keira Knightley,110
Bent,Gold.,496059,movie,8679,10,1,7.1,nc-17,2,3.5,bent (1997),drama|war,1997,11,Bent,8671,nm0558773,actor,Lothaire Bluteau,105
The Sacrament,Magn.,9221,movie,20517,10,1,6.1,r,1,4.0,sacrament  the (2013),horror|thriller,2014,5,The Sacrament,20482,nm1488800,actor,Joe Swanberg,99
Happy Accidents,IFC,688523,movie,10129,10,1,7.2,r,4,4.0,happy accidents (2000),romance|sci-fi,2001,9,Happy Accidents,10125,nm0026442,actress,Marisa Tomei,110
"Paris, je t'aime",First,4899278,"","","","","","",8,2.94,paris  i love you (paris  je t'aime) (2006),romance,"","","Paris, je t'aime",74002,"nm0000801,nm0041474,nm0149446,nm0158984,nm0001053,nm0001054,nm0170043,nm0000127,nm0190859,nm0000367,nm0236313,nm0481418,nm0622112,nm0668247,nm0687913,nm0758574,nm0005628,nm0840485,nm0858680,nm0878756,nm0001814",actress,Juliette Binoche,120
Django Unchained,Wein.,162805434,movie,1648437,10,1,8.5,r,71,3.94,django unchained (2012),action|drama|western,2012,12,Django Unchained,1645339,nm0000233,actor,Jamie Foxx,165
