title,studio,lifetime_gross,movieId,imdbId,tmdbId,mediaType,imdb_ratingCount,imdb_bestRating,imdb_worstRating,imdb_averageRating,contentRating,smallLensRatingCount,smallLensRatingAvg,title_lowercase,genres,smallLensTagCount,releaseYear,releaseMonth,nconst,tconst,titleType,primaryTitle,originalTitle,numVotes,directors,writers,category,primaryName,startYear,runtimeMinutes,averageRating,isAdult
Get Out,Uni.,176040665,168250,tt5052448,419430,movie,669688,10,1,7.8,r,15,3.63,get out (2017),horror,"",2017,2,nm2257207,tt5052448,movie,Get Out,Get Out,667183,nm1443502,nm1443502,actor,Daniel Kaluuya,2017,104,7,0
Daddy's Home 2,Par.,104029443,180231,tt5657846,419680,"","","","","","",1,4.0,daddy's home 2 (2017),comedy|drama,"","","",nm0002071,tt5657846,movie,Daddy's Home 2,Daddy's Home 2,79643,nm1890845,"nm1890845,nm1898234,nm0122602",actor,Will Ferrell,2017,100,6,0
The Raven,Rela.,16008272,7333,tt0035753,29084,movie,10683,10,1,7.8,not rated,2,4.25,corbeau  le (raven  the) (1943),crime|drama|thriller,"",1943,9,nm0294382,tt0035753,movie,The Raven,Le corbeau,10668,nm0167241,"nm0154438,nm0167241",actor,Pierre Fresnay,1943,92,7,0
Dressed to Kill,Orion,31899000,8778,tt0038494,20417,"","","","","","",2,3.75,sherlock holmes: dressed to kill (1946),crime|mystery,"","","",nm0001651,tt0038494,movie,Dressed to Kill,Dressed to Kill,6702,nm0624756,"nm0497738,nm0344246,nm0236279",actor,Basil Rathbone,1946,76,6,0
The Postman Always Rings Twice,Par.,12376625,7728,tt0038854,25736,movie,22387,10,1,7.4,passed,3,3.67,postman always rings twice  the (1946),crime|drama|film-noir|thriller,1,1946,9,nm0001805,tt0038854,movie,The Postman Always Rings Twice,The Postman Always Rings Twice,22343,nm0307819,"nm0750822,nm0124002,nm0128906",actress,Lana Turner,1946,113,7,0
Othello,Sony,2844379,2848,tt0045251,47697,movie,9261,10,1,7.5,approved,1,4.0,othello (tragedy of othello: the moor of venice  the) (1952),drama,"",1955,9,nm0000080,tt0045251,movie,Othello,The Tragedy of Othello: The Moor of Venice,9252,nm0000080,"nm0000636,nm0000080,nm0755068",actor,Orson Welles,1951,90,7,0
The Fly,Fox,40456565,2454,tt0051622,11815,movie,25117,10,1,7.1,not rated,13,3.38,fly  the (1958),horror|mystery|sci-fi,"",1958,7,nm0373314,tt0051622,movie,The Fly,The Fly,25060,nm0627087,"nm0165412,nm0486228",actor,David Hedison,1958,94,7,0
The Parent Trap,BV,66308518,1013,tt0055277,19186,movie,23352,10,1,7.2,passed,12,3.21,parent trap  the (1961),children|comedy|romance,1,1961,6,nm0001539,tt0055277,movie,The Parent Trap,The Parent Trap,23311,nm0842582,"nm0477696,nm0842582",actress,Hayley Mills,1961,129,7,0
A Fistful of Dollars,UA,14500000,2951,tt0058461,391,movie,227756,10,1,7.9,r,39,3.94,fistful of dollars  a (per un pugno di dollari) (1964),action|western,1,1967,1,nm0000142,tt0058461,movie,A Fistful of Dollars,Per un pugno di dollari,227498,nm0001466,"nm0093501,nm8800791,nm0146033,nm0001466,nm0173549,nm0000041,nm0223964,nm0452878,nm0856319,nm0884547",actor,Clint Eastwood,1964,99,7,0
The Collector,Free,7712114,823,tt0061495,4837,movie,9550,10,1,7.3,not rated,1,3.5,collector  the (la collectionneuse) (1967),drama,"",1967,3,nm0000872,tt0061495,movie,The Collector,La collectionneuse,9538,nm0006445,"nm0000872,nm0689248,nm0690150,nm0006445",actor,Patrick Bauchau,1967,89,7,0
Oscar,BV,23562716,142020,tt0062083,2798,movie,7336,10,1,7.5,g,1,5.0,oscar (1967),comedy,"",1967,10,nm0000086,tt0062083,movie,Oscar,Oscar,7330,nm0596850,"nm0536249,nm0354677,nm0596850,nm0000086",actor,Louis de Funès,1967,85,7,0
2001: A Space Odyssey,MGM,60541301,924,tt0062622,62,movie,703225,10,1,8.3,g,109,3.89,2001: a space odyssey (1968),adventure|drama|sci-fi,41,1968,5,nm0001158,tt0062622,movie,2001: A Space Odyssey,2001: A Space Odyssey,702182,nm0000040,"nm0000040,nm0002009",actor,Keir Dullea,1968,149,8,0
Midnight Cowboy,UA,44785053,1952,tt0064665,3116,movie,117580,10,1,7.8,x,22,3.95,midnight cowboy (1969),drama,1,1969,5,nm0000163,tt0064665,movie,Midnight Cowboy,Midnight Cowboy,117401,nm0772259,"nm0759029,nm0379052",actor,Dustin Hoffman,1969,113,7,0
Escape from the Planet of the Apes,Fox,12348905,2533,tt0067065,1687,movie,37886,10,1,6.3,g,15,3.0,escape from the planet of the apes (1971),action|sci-fi,"",1971,7,nm0001522,tt0067065,movie,Escape from the Planet of the Apes,Escape from the Planet of the Apes,37808,nm0852279,"nm0214989,nm0099541",actor,Roddy McDowall,1971,98,6,0
High Plains Drifter,Uni.,15700000,2921,tt0068699,11901,movie,62275,10,1,7.4,r,11,4.18,high plains drifter (1973),western,"",1973,4,nm0000142,tt0068699,movie,High Plains Drifter,High Plains Drifter,62181,nm0000142,"nm0862781,nm0718466",actor,Clint Eastwood,1973,105,7,0
Battle for the Planet of the Apes,Fox,8844595,2531,tt0069768,1705,"","","","","","",9,2.78,battle for the planet of the apes (1973),action|sci-fi,"","","",nm0001522,tt0069768,movie,Battle for the Planet of the Apes,Battle for the Planet of the Apes,32788,nm0496746,"nm0099541,nm0214989,nm0181019,nm0181020",actor,Roddy McDowall,1973,93,5,0
The Man with the Golden Gun,UA,20972000,3639,tt0071807,682,movie,111088,10,1,6.7,pg,18,3.58,man with the golden gun  the (1974),action|adventure|thriller,"",1974,12,nm0000549,tt0071807,movie,The Man with the Golden Gun,The Man with the Golden Gun,110939,nm0357891,"nm0537363,nm0542539,nm0001220",actor,Roger Moore,1974,125,6,0
The Passenger,MGM,620155,26350,tt0073580,9652,movie,25494,10,1,7.5,pg,1,5.0,passenger  the (professione: reporter) (1975),drama,"",1975,4,nm0000197,tt0073580,movie,The Passenger,Professione: reporter,25446,nm0000774,"nm0672546,nm0762924,nm0000774,nm0208269,nm0938557",actor,Jack Nicholson,1975,126,7,0
Bugsy Malone,Par.,2783840,6798,tt0074256,8446,movie,19036,10,1,6.8,g,2,2.75,bugsy malone (1976),children|comedy|crime|musical,"",1976,9,nm0000149,tt0074256,movie,Bugsy Malone,Bugsy Malone,19013,nm0000570,nm0000570,actress,Jodie Foster,1976,93,6,0
Rocky,UA,117235147,1954,tt0075148,1366,"","","","","","",64,3.83,rocky (1976),drama,2,"","",nm0000230,tt0075148,movie,Rocky,Rocky,613052,nm0000814,nm0000230,actor,Sylvester Stallone,1976,120,8,0
The Gauntlet,WB,26414658,4947,tt0076070,17689,movie,24632,10,1,6.4,r,2,3.5,gauntlet  the (1977),action,"",1977,12,nm0000142,tt0076070,movie,The Gauntlet,The Gauntlet,24603,nm0000142,"nm0125060,nm0795461",actor,Clint Eastwood,1977,109,6,0
Foul Play,Par.,44999621,7107,tt0077578,15659,"","","","","","",2,2.75,foul play (1978),comedy|thriller,"","","",nm0000443,tt0077578,movie,Foul Play,Foul Play,16544,nm0383359,nm0383359,actress,Goldie Hawn,1978,116,6,0
10,WB,74865517,6658,tt0078721,9051,movie,19049,10,1,6.1,r,4,3.38,10 (1979),comedy|romance,"",1979,10,nm0001545,tt0078721,movie,10,10,19023,nm0001175,nm0001175,actor,Dudley Moore,1979,122,6,0
Norma Rae,Fox,22228000,4292,tt0079638,40842,movie,12541,10,1,7.3,pg,2,3.5,norma rae (1979),drama,1,1979,3,nm0000398,tt0079638,movie,Norma Rae,Norma Rae,12525,nm0728688,"nm0712419,nm0290809",actress,Sally Field,1979,114,7,0
My Bodyguard,Fox,22482952,2240,tt0081207,21873,movie,10614,10,1,7.1,pg,7,3.86,my bodyguard (1980),drama,"",1980,9,nm0538485,tt0081207,movie,My Bodyguard,My Bodyguard,10593,nm0082300,nm0650276,actor,Chris Makepeace,1980,96,7,0
Urban Cowboy,Par.,46918287,5696,tt0081696,17496,movie,16317,10,1,6.4,pg,3,2.33,urban cowboy (1980),drama,"",1980,6,nm0000237,tt0081696,movie,Urban Cowboy,Urban Cowboy,16276,nm0108745,"nm0490061,nm0108745",actor,John Travolta,1980,132,6,0
Das Boot,Col.,11487676,1233,tt0082096,387,movie,260172,10,1,8.4,"",40,4.21,boot  das (boat  the) (1981),action|drama|war,1,1982,2,nm0001638,tt0082096,movie,Das Boot,Das Boot,259873,nm0000583,"nm0000583,nm0118164",actor,Jürgen Prochnow,1981,149,8,0
Nighthawks,Uni.,14905359,3029,tt0082817,21610,movie,21211,10,1,6.3,r,6,3.25,nighthawks (1981),action|drama,"",1981,4,nm0000230,tt0082817,movie,Nighthawks,Nighthawks,21152,"nm0540330,nm0625379","nm0787072,nm0843128",actor,Sylvester Stallone,1981,99,6,0
On Golden Pond,Uni.,119285432,1124,tt0082846,11816,movie,34051,10,1,7.6,pg,13,3.65,on golden pond (1981),drama,1,1982,2,nm0000031,tt0082846,movie,On Golden Pond,On Golden Pond,33996,nm0041932,nm0860125,actress,Katharine Hepburn,1981,109,7,0
Stripes,Col.,85297000,1663,tt0083131,10890,movie,78353,10,1,6.8,r,34,3.79,stripes (1981),comedy|war,1,1981,6,nm0000195,tt0083131,movie,Stripes,Stripes,78246,nm0718645,"nm0089676,nm0325175,nm0000601",actor,Bill Murray,1981,106,6,0
Take This Job and Shove It,Emb,17569027,5863,tt0083163,42371,"","","","","","",1,1.0,take this job and shove it (1981),comedy,"","","",nm0001332,tt0083163,movie,Take This Job and Shove It,Take This Job and Shove It,918,nm0872809,"nm0773710,nm0076917",actor,Robert Hays,1981,100,4,0
The Evil Dead,NL,2400000,4105,tt0083907,764,"","","","","","",22,3.82,evil dead  the (1981),fantasy|horror|thriller,1,"","",nm0132257,tt0083907,movie,The Evil Dead,The Evil Dead,227868,nm0000600,nm0000600,actor,Bruce Campbell,1981,85,7,0
Pink Floyd: The Wall,MGM,22244207,1298,tt0084503,12104,"","","","","","",23,3.76,pink floyd: the wall (1982),drama|musical,"","","",nm0002097,tt0084503,movie,Pink Floyd: The Wall,Pink Floyd: The Wall,84075,nm0000570,nm0914166,actor,Bob Geldof,1982,95,8,0
Class,Orion,21667789,2241,tt0085346,21500,movie,11713,10,1,6.0,r,4,3.5,class (1983),comedy,"",1983,7,nm0000302,tt0085346,movie,Class,Class,11695,nm0137573,"nm0467942,nm0339264",actress,Jacqueline Bisset,1983,98,6,0
Cujo,WB,21156152,2121,tt0085382,10489,movie,49861,10,1,6.1,r,7,2.21,cujo (1983),horror|thriller,1,1983,8,nm0908914,tt0085382,movie,Cujo,Cujo,49729,nm0853546,"nm0000175,nm0241795,nm0193009",actress,Dee Wallace,1983,93,6,0
Flashdance,Par.,92921203,2942,tt0085549,535,movie,58149,10,1,6.2,r,16,2.88,flashdance (1983),drama|romance,"",1983,4,nm0000884,tt0085549,movie,Flashdance,Flashdance,58024,nm0001490,"nm0373320,nm0000390",actress,Jennifer Beals,1983,95,6,0
Local Hero,WB,5895761,1238,tt0085859,11235,"","","","","","",9,4.06,local hero (1983),comedy,"","","",nm0000044,tt0085859,movie,Local Hero,Local Hero,26055,nm0287025,nm0287025,actor,Burt Lancaster,1983,111,7,0
Superman III,WB,59950623,2642,tt0086393,9531,movie,73580,10,1,5.0,pg,22,2.25,superman iii (1983),action|adventure|sci-fi,1,1983,6,nm0001659,tt0086393,movie,Superman III,Superman III,73521,nm0504513,"nm0796950,nm0795975,nm0628058,nm0628174,nm0701374",actor,Christopher Reeve,1983,125,5,0
WarGames,MGM,79567667,6979,tt0086567,860,movie,107968,10,1,7.1,pg,21,3.31,wargames (1983),drama|sci-fi|thriller,1,1983,6,nm0000111,tt0086567,movie,WarGames,WarGames,107697,nm0000824,"nm0489623,nm0662748,nm0338396",actor,Matthew Broderick,1983,114,7,0
Conan the Destroyer,Uni.,31042035,5040,tt0087078,9610,movie,84082,10,1,5.9,pg,8,3.13,conan the destroyer (1984),action|adventure|fantasy,"",1984,6,nm0000216,tt0087078,movie,Conan the Destroyer,Conan the Destroyer,83990,nm0281507,"nm0397574,nm0859471,nm0176689,nm0542970",actor,Arnold Schwarzenegger,1984,103,5,0
Footloose,Par.,80035402,3791,tt0087277,1788,movie,88479,10,1,6.6,pg,16,3.19,footloose (1984),drama,"",1984,2,nm0000102,tt0087277,movie,Footloose,Footloose,88295,nm0006889,nm0685673,actor,Kevin Bacon,1984,107,6,0
The Lonely Guy,Uni.,5718573,7716,tt0087635,27171,"","","","","","",1,3.5,lonely guy  the (1984),comedy,"","","",nm0000188,tt0087635,movie,The Lonely Guy,The Lonely Guy,7589,nm0002137,"nm0918165,nm0200090,nm0800319,nm0295171",actor,Steve Martin,1984,90,6,0
Romancing the Stone,Fox,76572238,2406,tt0088011,9326,movie,101042,10,1,6.9,pg,54,3.45,romancing the stone (1984),action|adventure|comedy|romance,"",1984,3,nm0000140,tt0088011,movie,Romancing the Stone,Romancing the Stone,100851,nm0000709,"nm0858736,nm0229644,nm0291442,nm0798988",actor,Michael Douglas,1984,106,6,0
Sixteen Candles,Uni.,23686027,2144,tt0088128,15144,"","","","","","",49,3.6,sixteen candles (1984),comedy|romance,"","","",nm0000208,tt0088128,movie,Sixteen Candles,Sixteen Candles,122930,nm0000455,nm0000455,actress,Molly Ringwald,1984,93,7,0
Splash,BV,69821334,2100,tt0088161,2619,movie,81688,10,1,6.3,pg,51,3.12,splash (1984),comedy|fantasy|romance,1,1984,3,nm0000158,tt0088161,movie,Splash,Splash,81585,nm0000165,"nm0004976,nm0295171,nm0304665,nm0541632",actor,Tom Hanks,1984,111,6,0
Brewster's Millions,Uni.,40833132,4010,tt0088850,11064,movie,42147,10,1,6.5,pg,8,2.94,brewster's millions (1985),comedy,"",1985,5,nm0001640,tt0088850,movie,Brewster's Millions,Brewster's Millions,42061,nm0001353,"nm0567346,nm0918339,nm0365390",actor,Richard Pryor,1985,102,6,0
Fright Night,Col.,24922237,2867,tt0089175,11797,movie,77058,10,1,7.1,r,12,3.58,fright night (1985),comedy|horror|thriller,"",1985,8,nm0001697,tt0089175,movie,Fright Night,Fright Night,76871,nm0276169,nm0276169,actor,Chris Sarandon,1985,106,7,0
The Last Dragon,TriS,25754284,4442,tt0089461,13938,"","","","","","",3,2.67,last dragon  the (1985),action|comedy|drama,"","","",nm0846818,tt0089461,movie,The Last Dragon,The Last Dragon,17052,nm0776317,nm0893207,actor,Taimak,1985,109,6,0
Lifeforce,TriS,11603545,2377,tt0089489,11954,movie,28589,10,1,6.1,r,5,2.5,lifeforce (1985),horror|sci-fi,"",1985,6,nm0706883,tt0089489,movie,Lifeforce,Lifeforce,28515,nm0001361,"nm0933214,nm0639321,nm0415979,nm0035830,nm0690905",actor,Steve Railsback,1985,101,6,0
Perfect,Col.,12918858,5471,tt0089798,49370,"","","","","","",3,1.83,perfect (1985),drama|romance,"","","",nm0000237,tt0089798,movie,Perfect,Perfect,5791,nm0108745,"nm0490061,nm0108745",actor,John Travolta,1985,115,4,0
The Purple Rose of Cairo,Orion,10631333,2065,tt0089853,10849,movie,54036,10,1,7.7,pg,13,3.73,purple rose of cairo  the (1985),comedy|drama|fantasy|romance,1,1985,4,nm0001201,tt0089853,movie,The Purple Rose of Cairo,The Purple Rose of Cairo,53947,nm0000095,nm0000095,actress,Mia Farrow,1985,82,7,0
Santa Claus: The Movie,TriS,23717291,2399,tt0089961,13764,movie,14815,10,1,6.2,pg,4,2.25,santa claus: the movie (1985),adventure|children|fantasy,"",1985,11,nm0001545,tt0089961,movie,Santa Claus: The Movie,Santa Claus: The Movie,14773,nm0844358,"nm0628058,nm0628174",actor,Dudley Moore,1985,107,6,0
Silver Bullet,Par.,12361866,5433,tt0090021,17898,movie,30717,10,1,6.4,r,3,2.67,silver bullet (stephen king's silver bullet) (1985),adventure|drama|horror|mystery|thriller,"",1985,10,nm0000997,tt0090021,movie,Silver Bullet,Silver Bullet,30633,nm0003733,nm0000175,actor,Gary Busey,1985,95,6,0
Teen Wolf,Atl,33086611,7036,tt0090142,11824,movie,58307,10,1,6.1,pg,7,3.14,teen wolf (1985),comedy|fantasy,"",1985,8,nm0000150,tt0090142,movie,Teen Wolf,Teen Wolf,58194,nm0199722,"nm0517188,nm0918861",actor,Michael J. Fox,1985,91,6,0
'Round Midnight,WB,3272593,26564,tt0090557,14670,movie,5726,10,1,7.4,r,2,3.5,'round midnight (1986),drama|musical,"",1986,10,nm0330143,tt0090557,movie,'Round Midnight,'Round Midnight,5716,nm0851724,"nm0666714,nm0694046,nm0713128,nm0851724,nm0851725",actor,Dexter Gordon,1986,133,7,0
Deadly Friend,WB,8988731,2465,tt0090917,33278,movie,8549,10,1,5.5,r,3,1.5,deadly friend (1986),horror,"",1986,10,nm0479612,tt0090917,movie,Deadly Friend,Deadly Friend,8531,nm0000127,"nm0378255,nm0748022",actor,Matthew Labyorteaux,1986,91,5,0
From Beyond,EP,1261000,7984,tt0091083,14510,movie,29526,10,1,6.6,r,1,4.0,from beyond (1986),horror|sci-fi,"",1986,10,nm0001062,tt0091083,movie,From Beyond,From Beyond,29405,nm0002340,"nm0522454,nm0951206,nm0660016,nm0002340",actor,Jeffrey Combs,1986,85,6,0
Hoosiers,Orion,28607524,3360,tt0091217,5693,movie,49992,10,1,7.4,pg,22,3.7,hoosiers (a.k.a. best shot) (1986),drama|romance,1,1987,2,nm0000432,tt0091217,movie,Hoosiers,Hoosiers,49931,nm0000770,nm0686233,actor,Gene Hackman,1986,114,7,0
Soul Man,NW,27820000,2473,tt0091991,12278,movie,8839,10,1,5.3,pg-13,8,2.56,soul man (1986),comedy,"",1986,10,nm0001367,tt0091991,movie,Soul Man,Soul Man,8829,nm0591171,nm0085209,actor,C. Thomas Howell,1986,104,5,0
Back to the Beach,Par.,13110903,4081,tt0092608,26477,movie,3321,10,1,5.9,pg,3,1.83,back to the beach (1987),comedy,"",1987,8,nm0000811,tt0092608,movie,Back to the Beach,Back to the Beach,3314,nm0387605,"nm0464506,nm0636165,nm0456918,nm0471298,nm0576228,nm0859977,nm0750870",actor,Frankie Avalon,1987,92,5,0
The Big Easy,Col.,17685307,4086,tt0092654,11028,movie,13651,10,1,6.5,r,5,3.5,big easy  the (1987),action|crime|mystery|romance|thriller,"",1987,8,nm0000598,tt0092654,movie,The Big Easy,The Big Easy,13629,nm0564319,"nm0677943,nm0052944,nm0564319",actor,Dennis Quaid,1986,102,6,0
Date with an Angel,DEG,1988962,3393,tt0092834,28370,movie,2990,10,1,5.6,pg,3,1.33,date with an angel (1987),comedy|fantasy|romance,"",1987,11,nm0461021,tt0092834,movie,Date with an Angel,Date with an Angel,2983,nm0572951,nm0572951,actor,Michael E. Knight,1987,105,5,0
Dirty Dancing,Vest,64577242,1088,tt0092890,88,"","","","","","",42,3.37,dirty dancing (1987),drama|musical|romance,2,"","",nm0000664,tt0092890,movie,Dirty Dancing,Dirty Dancing,248730,nm0001915,nm0075044,actor,Patrick Swayze,1987,100,7,0
The Fourth Protocol,Lori,12423831,4110,tt0093044,4918,movie,10682,10,1,6.5,r,1,3.0,fourth protocol  the (1987),thriller,"",1987,8,nm0000323,tt0093044,movie,The Fourth Protocol,The Fourth Protocol,10659,nm0533334,"nm0043480,nm0123120,nm0287046",actor,Michael Caine,1987,119,6,0
Hamburger Hill,Par.,13839404,8045,tt0093137,10652,"","","","","","",1,2.0,hamburger hill (1987),action|drama|war,"","","",nm0057450,tt0093137,movie,Hamburger Hill,Hamburger Hill,27349,nm0410139,nm0135829,actor,Anthony Barrile,1987,110,6,0
Wings of Honneamise,Tara,55572,7118,tt0093207,20043,movie,5622,10,1,7.2,unrated,2,3.75,wings of honneamise (ôritsu uchûgun oneamisu no tsubasa) (1987),animation|drama|sci-fi|war,"",1995,3,nm0605480,tt0093207,movie,Wings of Honneamise,Ôritsu uchûgun Oneamisu no tsubasa,5609,nm0945293,"nm0945293,nm0138233,nm0556856,nm1577584",actor,Leo Morimoto,1987,121,7,0
Less Than Zero,Fox,12396383,4126,tt0093407,13703,movie,21610,10,1,6.4,r,4,3.5,less than zero (1987),drama,"",1987,11,nm0000530,tt0093407,movie,Less Than Zero,Less Than Zero,21572,nm0437709,"nm0254735,nm0679037",actor,Andrew McCarthy,1987,98,6,0
Made in Heaven,Lori,4572845,4129,tt0093467,42010,movie,3575,10,1,6.3,pg,1,1.0,made in heaven (1987),fantasy|romance,"",1987,11,nm0000459,tt0093467,movie,Made in Heaven,Made in Heaven,3572,nm0748928,"nm0262595,nm0317279",actor,Timothy Hutton,1987,103,6,0
Wall Street,Fox,43848069,4007,tt0094291,10673,"","","","","","",20,3.75,wall street (1987),drama,1,"","",nm0000221,tt0094291,movie,Wall Street,Wall Street,162401,nm0000231,"nm0007140,nm0000231",actor,Charlie Sheen,1987,126,7,0
Child's Play,UA,33244684,1991,tt0094862,10585,movie,113713,10,1,6.7,r,12,2.71,child's play (1988),horror|thriller,"",1988,11,nm0382819,tt0094862,movie,Child's Play,Child's Play,113268,nm0276169,"nm0238841,nm0480843,nm0276169",actress,Catherine Hicks,1988,87,6,0
High Spirits,TriS,8578231,4511,tt0095304,21362,movie,10414,10,1,5.7,pg-13,1,2.0,high spirits (1988),comedy,"",1988,11,nm0000564,tt0095304,movie,High Spirits,High Spirits,10396,nm0001403,nm0001403,actor,Peter O'Toole,1988,99,5,0
Monkey Shines,Orion,5344577,2900,tt0095652,29787,movie,12757,10,1,6.2,r,2,2.5,monkey shines (1988),horror|sci-fi,"",1988,7,nm0000892,tt0095652,movie,Monkey Shines,Monkey Shines,12746,nm0001681,"nm0829664,nm0001681",actor,Jason Beghe,1988,113,6,0
Bagdad Cafe,Isld,3587303,4529,tt0095801,3543,movie,14778,10,1,7.4,pg,4,3.88,bagdad cafe (out of rosenheim) (1987),comedy|drama,"",1988,4,nm0845270,tt0095801,movie,Bagdad Cafe,Out of Rosenheim,14756,nm0000727,"nm0012280,nm0000727,nm0230547",actress,Marianne Sägebrecht,1987,95,7,0
Phantasm II,Uni.,7282851,3837,tt0095863,15158,movie,16472,10,1,6.4,r,3,2.5,phantasm ii (1988),action|fantasy|horror|sci-fi|thriller,"",1988,7,nm0001457,tt0095863,movie,Phantasm II,Phantasm II,16443,nm0181741,nm0181741,actor,James Le Gros,1988,97,6,0
Running on Empty,WB,2835116,4537,tt0096018,18197,movie,17545,10,1,7.6,pg-13,3,4.33,running on empty (1988),drama,1,1988,9,nm0000203,tt0096018,movie,Running on Empty,Running on Empty,17490,nm0001486,nm0284524,actor,River Phoenix,1988,116,7,0
Next of Kin,WB,15942628,4629,tt0097967,27418,movie,12342,10,1,5.8,r,2,1.75,next of kin (1989),action|crime|thriller,"",1989,10,nm0000664,tt0097967,movie,Next of Kin,Next of Kin,12331,nm0410139,nm0421099,actor,Patrick Swayze,1989,108,5,0
No Holds Barred,NL,16093651,4630,tt0097987,39002,movie,6831,10,1,4.4,pg-13,1,1.0,no holds barred (1989),action,"",1989,6,nm0001356,tt0097987,movie,No Holds Barred,No Holds Barred,6817,nm0942869,nm0352518,actor,Hulk Hogan,1989,93,4,0
Paperhouse,Vest,241278,7561,tt0098061,41965,movie,6192,10,1,6.6,pg-13,1,3.5,paperhouse (1988),fantasy|horror|thriller,"",1989,2,nm0121628,tt0098061,movie,Paperhouse,Paperhouse,6188,nm0741262,"nm0832674,nm0414226",actress,Charlotte Burke,1988,92,6,0
Pet Sematary,Par.,57469467,2513,tt0098084,8913,movie,112798,10,1,6.5,r,10,2.85,pet sematary (1989),horror,"",1989,4,nm0001535,tt0098084,movie,Pet Sematary,Pet Sematary,112492,nm0005116,nm0000175,actor,Dale Midkiff,1989,103,6,0
The Toxic Avenger Part II,Troma,792966,3694,tt0098503,28165,movie,7171,10,1,5.0,r,2,2.0,toxic avenger  part ii  the (1989),comedy|horror,"",1989,2,nm0269793,tt0098503,movie,The Toxic Avenger Part II,The Toxic Avenger Part II,7137,"nm0381230,nm0442207","nm0855988,nm0442207,nm0507921,nm0299220,nm0594431,nm0938489,nm0729708,nm0728766",actor,Ron Fazio,1989,102,5,0
Blue Steel,MGM,8217997,5961,tt0099160,9491,"","","","","","",1,1.5,blue steel (1990),action|thriller,"","","",nm0000130,tt0099160,movie,Blue Steel,Blue Steel,17136,nm0000941,"nm0000941,nm0714599",actress,Jamie Lee Curtis,1989,102,5,0
My Mother's Castle,OrionC,1477071,5840,tt0099266,12717,"","","","","","",1,4.0,my mother's castle (château de ma mère  le) (1990),comedy|drama,"","","",nm0161765,tt0099266,movie,My Mother's Castle,Le château de ma mère,5513,nm0002216,"nm0656528,nm0867374,nm0002216",actor,Julien Ciamaca,1990,98,7,0
Come See the Paradise,Fox,947306,3106,tt0099291,59820,movie,2998,10,1,6.7,r,1,1.0,come see the paradise (1990),drama|romance,"","","",nm0000598,tt0099291,movie,Come See the Paradise,Come See the Paradise,2996,nm0000570,nm0000570,actor,Dennis Quaid,1990,138,6,0
Cyrano de Bergerac,OrionC,5820020,1277,tt0099334,11673,movie,25499,10,1,7.5,pg,12,4.13,cyrano de bergerac (1990),comedy|drama|romance,1,1990,12,nm0000367,tt0099334,movie,Cyrano de Bergerac,Cyrano de Bergerac,25465,nm0710919,"nm0744562,nm0710919,nm0140643",actor,Gérard Depardieu,1990,137,7,0
Joe Versus the Volcano,WB,39404261,5303,tt0099892,2565,"","","","","","",7,3.43,joe versus the volcano (1990),comedy|romance,"","","",nm0000158,tt0099892,movie,Joe Versus the Volcano,Joe Versus the Volcano,39198,nm0788234,nm0788234,actor,Tom Hanks,1990,102,5,0
Freddy's Dead: The Final Nightmare,NL,34872033,1973,tt0101917,11284,movie,50067,10,1,4.7,r,5,2.2,freddy's dead: the final nightmare (nightmare on elm street part 6: freddy's dead  a) (1991),horror,"",1991,9,nm0000387,tt0101917,movie,Freddy's Dead: The Final Nightmare,Freddy's Dead: The Final Nightmare,49944,nm0003080,"nm0000127,nm0003080,nm0006894",actor,Robert Englund,1991,89,4,0
Hot Shots!,Fox,69467617,5541,tt0102059,9595,movie,114424,10,1,6.7,pg-13,15,3.13,hot shots! (1991),action|comedy|romance|war,"",1991,7,nm0000221,tt0102059,movie,Hot Shots!,Hot Shots!,114271,nm0000720,"nm0000720,nm0698493",actor,Charlie Sheen,1991,84,6,0
JFK,WB,70405498,3386,tt0102138,820,movie,166261,10,1,8.0,r,31,3.5,jfk (1991),drama|mystery|thriller,2,1991,12,nm0000126,tt0102138,movie,JFK,JFK,165991,nm0000231,"nm0308426,nm0550285,nm0000231,nm0804466",actor,Kevin Costner,1991,189,8,0
The Last Boy Scout,WB,59509925,7007,tt0102266,9319,movie,109640,10,1,7.0,r,8,3.5,last boy scout  the (1991),action|comedy|crime|drama|thriller,"",1991,12,nm0000246,tt0102266,movie,The Last Boy Scout,The Last Boy Scout,109467,nm0001716,"nm0000948,nm0382855",actor,Bruce Willis,1991,105,7,0
Mobsters,Uni.,20246790,6860,tt0102460,21219,movie,9562,10,1,5.9,r,1,2.0,mobsters (1991),crime|drama,"",1991,7,nm0000225,tt0102460,movie,Mobsters,Mobsters,9553,nm0439040,"nm0536893,nm0443582",actor,Christian Slater,1991,104,5,0
One False Move,IRS,1543112,3728,tt0102592,21128,movie,13355,10,1,7.1,r,4,3.75,one false move (1992),crime|drama|film-noir|thriller,"",1992,5,nm0000200,tt0102592,movie,One False Move,One False Move,13285,nm0002083,"nm0000671,nm0258370",actor,Bill Paxton,1991,105,7,0
Quigley Down Under,MGM,21413105,26750,tt0102744,9588,movie,23823,10,1,6.9,pg-13,2,3.25,quigley down under (1990),adventure|drama|western,"",1990,10,nm0000633,tt0102744,movie,Quigley Down Under,Quigley Down Under,23757,nm0934578,nm0384398,actor,Tom Selleck,1990,119,6,0
