title,title_lc,studio,directors,contentRate,rnTimeMin,genres,rlYr,rlMnth,type,primaryName,category,numVotes,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg,gross
Wild Things,wild things (1998),0.0,39.0,5.0,108.0,61.0,6.0,6.0,0.0,2.0,426.0,127578.0,127760.0,10.0,1.0,6.6,31.0,3.02,3.0147739E7
Coffee and Cigarettes,coffee and cigarettes (2003),0.0,2.0,18.0,95.0,49.0,5.0,5.0,0.0,7.0,41.0,66456.0,66519.0,10.0,1.0,7.0,6.0,3.58,2198924.0
The Lookout,lookout  the (2007),0.0,10.0,6.0,99.0,72.0,1.0,1.0,0.0,2.0,845.0,60164.0,60190.0,10.0,1.0,7.0,6.0,3.25,4600585.0
Wall Street: Money Never Sleeps,wall street: money never sleeps (2010),0.0,0.0,3.0,133.0,88.0,18.0,18.0,0.0,6.0,12.0,105560.0,105631.0,10.0,1.0,6.2,3.0,3.17,5.2474616E7
Class Action,class action (1991),0.0,0.0,3.0,110.0,50.0,28.0,28.0,0.0,2.0,14.0,8109.0,8119.0,10.0,1.0,6.4,1.0,2.0,2.4277858E7
Open Hearts,open hearts (elsker dig for evigt) (2002),0.0,57.0,46.0,113.0,2303.0,0.0,0.0,1.0,6.0,381.0,10713.0,10724.0,10.0,1.0,7.5,1.0,5.0,136170.0
X-Men: Apocalypse,x-men: apocalypse (2016),0.0,87.0,3.0,144.0,127.0,20.0,20.0,0.0,11.0,109.0,452977.0,453507.0,10.0,1.0,6.9,14.0,3.07,1.55442489E8
A Family Thing,family thing  a (1996),1.0,2.0,7.0,109.0,158.0,93.0,93.0,0.0,12.0,440.0,3992.0,0.0,0.0,0.0,0.0,2.0,3.0,1.0125417E7
The Caveman's Valentine,caveman's valentine  the (2001),0.0,0.0,15.0,105.0,76.0,4.0,4.0,0.0,6.0,949.0,8058.0,8059.0,10.0,1.0,5.8,2.0,3.5,687194.0
Last Action Hero,last action hero (1993),0.0,118.0,10.0,130.0,12.0,23.0,23.0,0.0,7.0,107.0,160353.0,160603.0,10.0,1.0,6.5,53.0,2.93,5.0016394E7
Richie Rich,richie rich (1994),0.0,15.0,0.0,95.0,244.0,21.0,21.0,0.0,3.0,94.0,72157.0,72243.0,10.0,1.0,5.4,25.0,2.2,3.8087756E7
Harry Potter and the Chamber of Secrets,harry potter and the chamber of secrets (2002),0.0,113.0,0.0,161.0,108.0,0.0,0.0,0.0,4.0,34.0,672024.0,673359.0,10.0,1.0,7.4,102.0,3.6,2.62233983E8
Piranha 3D,piranha (piranha 3d) (2010),0.0,108.0,50.0,88.0,665.0,18.0,18.0,1.0,1.0,276.0,95365.0,95430.0,10.0,1.0,5.5,3.0,2.17,2.5003155E7
Smoke Signals,smoke signals (1998),0.0,2.0,6.0,89.0,900.0,6.0,6.0,0.0,4.0,1615.0,12354.0,12381.0,10.0,1.0,7.2,9.0,3.39,6745362.0
Maelstrom,maelström (2000),1.0,4.0,147.0,87.0,1864.0,93.0,93.0,1.0,12.0,249.0,6982.0,0.0,0.0,0.0,0.0,1.0,4.0,254380.0
Chef,chef (2014),0.0,1.0,52.0,114.0,1638.0,16.0,16.0,0.0,11.0,163.0,226385.0,226654.0,10.0,1.0,7.3,2.0,2.75,3.1424003E7
The Descent,descent  the (2005),0.0,553.0,19.0,99.0,2283.0,3.0,3.0,1.0,1.0,961.0,240746.0,241265.0,10.0,1.0,7.2,11.0,3.55,2.6024456E7
Only You,only you (1994),0.0,3.0,154.0,109.0,372.0,21.0,21.0,1.0,0.0,51.0,24771.0,24820.0,10.0,1.0,6.5,8.0,3.56,61565.0
Basquiat,basquiat (1996),0.0,0.0,6.0,107.0,708.0,8.0,8.0,0.0,1.0,639.0,21557.0,21578.0,10.0,1.0,6.9,6.0,2.83,3011195.0
Chasing Amy,chasing amy (1997),0.0,5.0,6.0,113.0,21.0,14.0,14.0,0.0,5.0,48.0,142257.0,142335.0,10.0,1.0,7.2,52.0,3.58,1.2021272E7
Cheaper by the Dozen,cheaper by the dozen (2003),0.0,15.0,3.0,98.0,15.0,2.0,2.0,0.0,3.0,92.0,107091.0,107223.0,10.0,1.0,5.9,8.0,1.94,1.38614544E8
America's Sweethearts,america's sweethearts (2001),0.0,3.0,28.0,102.0,69.0,4.0,4.0,1.0,8.0,370.0,59474.0,59516.0,10.0,1.0,5.7,18.0,2.58,9.3607673E7
Saw,saw (2004),0.0,45.0,14.0,103.0,322.0,5.0,5.0,0.0,0.0,182.0,455104.0,456945.0,10.0,1.0,7.6,33.0,3.18,5.6000369E7
Father of the Bride,father of the bride (1991),1.0,1.0,2.0,105.0,15.0,93.0,93.0,0.0,12.0,242.0,82243.0,0.0,0.0,0.0,0.0,13.0,3.5,8.932578E7
Lassie,lassie (1994),0.0,54.0,4.0,94.0,685.0,21.0,21.0,1.0,8.0,1006.0,6563.0,6566.0,10.0,1.0,5.8,2.0,3.0,9979683.0
"I Love You, I Love You Not",i love you  i love you not (1996),0.0,4.0,14.0,88.0,705.0,14.0,14.0,1.0,0.0,1764.0,2880.0,2881.0,10.0,1.0,5.3,1.0,3.0,20677.0
Men of Honor,men of honor (2000),0.0,0.0,3.0,129.0,124.0,13.0,13.0,0.0,4.0,456.0,123007.0,123204.0,10.0,1.0,7.2,14.0,3.39,4.8818921E7
Mirrors,mirrors (2008),0.0,45.0,3.0,110.0,507.0,10.0,10.0,0.0,1.0,276.0,112250.0,112423.0,10.0,1.0,6.1,1.0,1.5,3.0691439E7
Bitter Moon,bitter moon (1992),0.0,680.0,23.0,139.0,59.0,21.0,21.0,0.0,2.0,32.0,41556.0,41632.0,10.0,1.0,7.2,6.0,3.5,1862805.0
Please Give,please give (2010),0.0,2.0,8.0,87.0,617.0,18.0,18.0,1.0,7.0,408.0,11527.0,11527.0,10.0,1.0,6.6,1.0,3.5,4033574.0
Seven Pounds,seven pounds (2008),0.0,0.0,5.0,123.0,48.0,10.0,10.0,0.0,3.0,314.0,311894.0,312145.0,10.0,1.0,7.6,11.0,4.14,6.9951824E7
Talk Radio,talk radio (1988),0.0,0.0,1.0,110.0,1345.0,27.0,27.0,0.0,10.0,12.0,14353.0,14374.0,10.0,1.0,7.2,2.0,3.0,3468572.0
"Patrik, Age 1.5",patrik age 1.5 (patrik 1 5) (2008),0.0,5.0,60.0,103.0,1439.0,10.0,10.0,0.0,6.0,1889.0,10318.0,10328.0,10.0,1.0,6.9,1.0,4.0,57468.0
Ruby Sparks,ruby sparks (2012),0.0,55.0,11.0,104.0,811.0,15.0,15.0,0.0,6.0,819.0,104412.0,104489.0,10.0,1.0,7.2,4.0,3.5,2540106.0
House of Wax,house of wax (1953),0.0,132.0,0.0,88.0,411.0,56.0,56.0,0.0,5.0,821.0,19785.0,19819.0,10.0,1.0,7.0,3.0,3.5,3.20648E7
Taking Sides,taking sides (2001),0.0,0.0,65.0,108.0,146.0,0.0,0.0,0.0,2.0,648.0,3627.0,3629.0,10.0,1.0,7.1,1.0,3.5,188952.0
Paranormal Activity 2,paranormal activity 2 (2010),0.0,347.0,4.0,91.0,744.0,18.0,18.0,1.0,0.0,668.0,108489.0,108591.0,10.0,1.0,5.7,5.0,3.7,8.4752907E7
Eulogy,eulogy (2004),1.0,31.0,14.0,91.0,293.0,93.0,93.0,0.0,12.0,1495.0,9205.0,0.0,0.0,0.0,0.0,1.0,3.0,75076.0
This Is 40,this is 40 (2012),0.0,0.0,1.0,134.0,157.0,15.0,15.0,0.0,3.0,278.0,148108.0,148234.0,10.0,1.0,6.2,8.0,3.13,6.7544505E7
Metropolis,metropolis (1927),0.0,52.0,4.0,153.0,1098.0,83.0,83.0,1.0,2.0,1156.0,181672.0,181950.0,10.0,1.0,8.3,21.0,3.86,1236166.0
Rent,rent (2005),1.0,69.0,28.0,135.0,554.0,93.0,93.0,0.0,12.0,34.0,55294.0,0.0,0.0,0.0,0.0,10.0,3.15,2.9077547E7
Flowers in the Attic,flowers in the attic (1987),0.0,7.0,57.0,93.0,1829.0,29.0,29.0,1.0,4.0,1405.0,11049.0,11066.0,10.0,1.0,5.7,7.0,2.57,1.5151736E7
Looking for Comedy in the Muslim World,looking for comedy in the muslim world (2005),0.0,1.0,38.0,98.0,135.0,3.0,3.0,0.0,10.0,262.0,3348.0,3356.0,10.0,1.0,5.5,1.0,3.5,888975.0
Psycho III,psycho iii (1986),1.0,9.0,1.0,93.0,313.0,93.0,93.0,0.0,12.0,1160.0,16060.0,0.0,0.0,0.0,0.0,2.0,2.5,1.4481606E7
Beyond the Sea,beyond the sea (2004),1.0,30.0,14.0,118.0,73.0,93.0,93.0,0.0,12.0,701.0,15402.0,0.0,0.0,0.0,0.0,1.0,2.0,6318709.0
Brothers,brothers (brødre) (2004),0.0,0.0,19.0,117.0,560.0,5.0,5.0,0.0,1.0,381.0,11581.0,11586.0,10.0,1.0,7.5,2.0,4.25,2.8544157E7
Dinner for Schmucks,dinner for schmucks (2010),1.0,1.0,27.0,114.0,77.0,93.0,93.0,0.0,12.0,85.0,109867.0,0.0,0.0,0.0,0.0,7.0,3.29,7.3026337E7
Dreamgirls,dreamgirls (2006),0.0,30.0,27.0,130.0,595.0,3.0,3.0,1.0,3.0,218.0,76233.0,76293.0,10.0,1.0,6.6,5.0,3.1,1.03365956E8
Bride Wars,bride wars (2009),0.0,3.0,3.0,89.0,240.0,19.0,19.0,1.0,10.0,460.0,113207.0,113363.0,10.0,1.0,5.5,4.0,3.5,5.871551E7
Ted,ted (2012),0.0,38.0,1.0,106.0,32.0,15.0,15.0,0.0,7.0,595.0,641363.0,642016.0,10.0,1.0,6.9,21.0,3.29,2.18815487E8
Mommy,mommy (2014),0.0,0.0,32.0,139.0,994.0,16.0,16.0,1.0,0.0,825.0,60482.0,60572.0,10.0,1.0,8.0,1.0,4.0,3494070.0
A Christmas Tale,films to keep you awake: the christmas tale (películas para no dormir: cuento de navidad) (2005),0.0,9.0,13.0,71.0,1887.0,3.0,3.0,1.0,1.0,2115.0,1755.0,1758.0,10.0,1.0,6.2,1.0,0.5,1060922.0
The Judge,judge  the (2014),1.0,0.0,0.0,141.0,65.0,93.0,93.0,0.0,12.0,289.0,198705.0,0.0,0.0,0.0,0.0,1.0,2.5,4.7119388E7
Enemy Mine,enemy mine (1985),0.0,112.0,3.0,108.0,28.0,32.0,32.0,0.0,3.0,74.0,50436.0,50475.0,10.0,1.0,6.8,4.0,4.0,1.2303411E7
Lean on Me,lean on me (1989),0.0,0.0,0.0,108.0,85.0,27.0,27.0,0.0,2.0,56.0,22381.0,22402.0,10.0,1.0,7.4,6.0,3.5,3.1906454E7
GoldenEye,goldeneye (1995),0.0,25.0,7.0,130.0,86.0,9.0,9.0,0.0,4.0,90.0,266386.0,266732.0,10.0,1.0,7.2,132.0,3.5,1.06429941E8
Skyfall,skyfall (2012),0.0,212.0,5.0,143.0,125.0,15.0,15.0,0.0,4.0,159.0,719498.0,720263.0,10.0,1.0,7.8,50.0,3.81,3.04360277E8
City Slickers II: The Legend of Curly's Gold,city slickers ii: the legend of curly's gold (1994),1.0,226.0,10.0,116.0,103.0,93.0,93.0,0.0,12.0,665.0,20482.0,0.0,0.0,0.0,0.0,55.0,2.65,4.362215E7
Children of the Revolution,children of the revolution (1996),0.0,1.0,6.0,101.0,503.0,14.0,14.0,1.0,5.0,1597.0,2415.0,2415.0,10.0,1.0,6.3,1.0,3.0,838368.0
Malena,malèna (2000),0.0,70.0,6.0,108.0,794.0,4.0,4.0,1.0,9.0,326.0,109320.0,109504.0,10.0,1.0,7.4,5.0,3.7,3448233.0
Annapolis,annapolis (2006),0.0,0.0,2.0,108.0,180.0,3.0,3.0,0.0,10.0,230.0,21725.0,21738.0,10.0,1.0,5.8,2.0,2.75,1.7127992E7
Wind River,wind river (2017),0.0,120.0,22.0,107.0,666.0,31.0,31.0,1.0,1.0,2247.0,270767.0,271635.0,10.0,1.0,7.7,5.0,3.4,3.3800859E7
Turbo,turbo (2013),0.0,71.0,3.0,96.0,66.0,22.0,22.0,0.0,8.0,1115.0,106982.0,107226.0,10.0,1.0,6.4,1.0,2.5,8.3028128E7
Meet the Robinsons,meet the robinsons (2007),0.0,206.0,2.0,95.0,1220.0,1.0,1.0,0.0,2.0,1323.0,108402.0,108640.0,10.0,1.0,6.8,11.0,3.55,9.7822171E7
Oculus,oculus (2013),0.0,11.0,53.0,104.0,1702.0,16.0,16.0,1.0,5.0,1086.0,137098.0,137384.0,10.0,1.0,6.5,1.0,4.5,2.7695246E7
The Girl on the Train,the girl on the train (2016),0.0,16.0,39.0,112.0,339.0,20.0,20.0,1.0,0.0,1054.0,195777.0,196008.0,10.0,1.0,6.5,1.0,4.5,208023.0
Disgrace,disgrace (2008),0.0,0.0,284.0,119.0,237.0,19.0,19.0,0.0,7.0,1789.0,5666.0,5668.0,10.0,1.0,6.5,1.0,3.5,69705.0
Beat Street,beat street (1984),0.0,30.0,17.0,105.0,2131.0,33.0,33.0,1.0,7.0,1869.0,4205.0,4217.0,10.0,1.0,6.5,1.0,1.0,1.6595791E7
Basic Instinct,basic instinct (1992),0.0,74.0,12.0,127.0,27.0,24.0,24.0,0.0,2.0,142.0,213273.0,213609.0,10.0,1.0,7.0,47.0,3.19,1.17727224E8
Dirty Harry,dirty harry (1971),1.0,19.0,0.0,102.0,2.0,93.0,93.0,0.0,12.0,2256.0,165156.0,0.0,0.0,0.0,0.0,20.0,3.78,3.5976E7
Pootie Tang,pootie tang (2001),0.0,1.0,4.0,81.0,173.0,4.0,4.0,0.0,7.0,1454.0,14852.0,14872.0,10.0,1.0,5.3,3.0,3.17,3313583.0
Thunderball,thunderball (1965),0.0,25.0,18.0,130.0,18.0,52.0,52.0,0.0,3.0,1073.0,124581.0,124787.0,10.0,1.0,6.9,24.0,3.48,6.3595658E7
Sisters,sisters (1973),0.0,9.0,1.0,93.0,1858.0,43.0,43.0,1.0,2.0,10.0,19934.0,20008.0,10.0,1.0,6.9,1.0,4.0,8.7044645E7
Back to the Future Part III,back to the future part iii (1990),1.0,544.0,1.0,118.0,44.0,93.0,93.0,0.0,12.0,20.0,470403.0,0.0,0.0,0.0,0.0,88.0,3.37,8.7727583E7
Amos & Andrew,amos & andrew (1993),0.0,1.0,10.0,96.0,0.0,23.0,23.0,0.0,2.0,1652.0,9689.0,9703.0,10.0,1.0,5.7,2.0,1.5,9745803.0
The Namesake,namesake  the (2006),0.0,4.0,11.0,122.0,740.0,1.0,1.0,0.0,5.0,175.0,21456.0,21478.0,10.0,1.0,7.5,3.0,3.67,1.3569248E7
The Decline of Western Civilization Part II: The Metal Years,decline of western civilization part ii: the metal years  the (1988),1.0,6.0,9.0,93.0,1609.0,93.0,93.0,2.0,12.0,241.0,4196.0,0.0,0.0,0.0,0.0,1.0,3.0,373743.0
The Vanishing,vanishing  the (spoorloos) (1988),0.0,7.0,3.0,107.0,1052.0,25.0,25.0,0.0,0.0,1040.0,42123.0,42210.0,10.0,1.0,7.7,6.0,3.92,1.4543394E7
Wristcutters: A Love Story,wristcutters: a love story (2006),1.0,60.0,123.0,88.0,2072.0,93.0,93.0,0.0,12.0,2472.0,57242.0,0.0,0.0,0.0,0.0,6.0,4.0,446165.0
The Salvation,salvation  the (2014),0.0,171.0,13.0,92.0,371.0,11.0,11.0,0.0,9.0,1901.0,41916.0,41991.0,10.0,1.0,6.7,1.0,3.0,44903.0
Biloxi Blues,biloxi blues (1988),0.0,2.0,1.0,106.0,83.0,25.0,25.0,0.0,2.0,26.0,16322.0,16336.0,10.0,1.0,6.6,2.0,3.5,4.3184798E7
The Man Who Killed Don Quixote,the man who killed don quixote (2018),1.0,81.0,95.0,132.0,1667.0,93.0,93.0,0.0,12.0,40.0,21580.0,0.0,0.0,0.0,0.0,1.0,4.5,391963.0
Cheaper by the Dozen,cheaper by the dozen (1950),0.0,2.0,3.0,86.0,630.0,53.0,53.0,0.0,5.0,1867.0,5552.0,5555.0,10.0,1.0,7.0,2.0,2.75,1.38614544E8
Airplane II: The Sequel,airplane ii: the sequel (1982),0.0,1.0,4.0,85.0,542.0,34.0,34.0,0.0,3.0,1629.0,55548.0,55614.0,10.0,1.0,6.1,19.0,3.18,2.7150534E7
Town & Country,town & country (2001),1.0,1.0,9.0,104.0,165.0,93.0,93.0,0.0,12.0,162.0,5173.0,0.0,0.0,0.0,0.0,2.0,2.5,6719973.0
Payback,payback (1999),0.0,18.0,4.0,100.0,9.0,12.0,12.0,0.0,9.0,268.0,142877.0,142980.0,10.0,1.0,7.1,45.0,3.42,8.1526121E7
Midnight Express,midnight express (1978),0.0,0.0,10.0,121.0,1083.0,40.0,40.0,0.0,0.0,31.0,86466.0,86619.0,10.0,1.0,7.5,8.0,4.0,3.5E7
When Harry Met Sally...,when harry met sally... (1989),1.0,3.0,10.0,95.0,103.0,93.0,93.0,0.0,12.0,16.0,234515.0,0.0,0.0,0.0,0.0,85.0,3.86,9.2823546E7
Ip Man 3,ip man 3 (2015),0.0,26.0,122.0,105.0,1285.0,11.0,11.0,0.0,3.0,2426.0,59090.0,59166.0,10.0,1.0,7.0,1.0,4.0,2679437.0
Legend,legend (2015),0.0,23.0,1.0,132.0,164.0,11.0,11.0,0.0,4.0,268.0,196259.0,196670.0,10.0,1.0,6.9,2.0,3.5,1.5502112E7
The Wedding Date,wedding date  the (2005),0.0,3.0,1.0,90.0,333.0,7.0,7.0,0.0,9.0,936.0,55449.0,55514.0,10.0,1.0,6.1,11.0,3.14,3.1726995E7
Exorcist II: The Heretic,exorcist ii: the heretic (1977),1.0,11.0,0.0,117.0,819.0,93.0,93.0,0.0,12.0,1181.0,27556.0,0.0,0.0,0.0,0.0,4.0,1.5,3.0749142E7
Twilight,twilight (2008),0.0,677.0,47.0,122.0,190.0,10.0,10.0,1.0,4.0,295.0,478860.0,479460.0,10.0,1.0,5.3,22.0,2.41,1.92769854E8
Now and Then,now and then (1995),0.0,98.0,9.0,102.0,138.0,9.0,9.0,1.0,0.0,1677.0,31800.0,31845.0,10.0,1.0,6.8,9.0,3.33,2.7112329E7
From Paris with Love,from paris with love (2010),0.0,53.0,19.0,92.0,13.0,18.0,18.0,0.0,9.0,430.0,120483.0,120551.0,10.0,1.0,6.4,2.0,2.5,2.4077427E7
The Turning Point,turning point  the (1977),0.0,4.0,3.0,119.0,584.0,41.0,41.0,1.0,4.0,88.0,5026.0,5040.0,10.0,1.0,6.8,1.0,4.0,2.5933445E7
Mortal Kombat,mortal kombat (1995),0.0,34.0,9.0,101.0,174.0,9.0,9.0,0.0,1.0,161.0,122922.0,123029.0,10.0,1.0,5.8,46.0,2.54,7.0454098E7
Cursed,cursed (2005),0.0,9.0,44.0,97.0,138.0,7.0,7.0,1.0,9.0,22.0,34548.0,34589.0,10.0,1.0,5.0,6.0,2.17,1.9297522E7
Christine,christine (1983),0.0,11.0,10.0,110.0,1716.0,35.0,35.0,0.0,3.0,29.0,90044.0,90272.0,10.0,1.0,6.7,10.0,2.95,2.1017849E7
The Last Metro,last metro  the (dernier métro  le) (1980),0.0,4.0,7.0,131.0,435.0,37.0,37.0,1.0,9.0,1133.0,15379.0,15405.0,10.0,1.0,7.3,1.0,4.0,3007436.0
Mondays in the Sun,mondays in the sun (lunes al sol  los) (2002),0.0,0.0,14.0,113.0,279.0,0.0,0.0,0.0,6.0,951.0,15157.0,15167.0,10.0,1.0,7.5,1.0,4.0,153256.0
Christmas with the Kranks,christmas with the kranks (2004),0.0,15.0,28.0,99.0,89.0,5.0,5.0,0.0,4.0,370.0,53828.0,53982.0,10.0,1.0,5.4,2.0,2.5,7.3780539E7
Underground,underground (1995),0.0,194.0,65.0,170.0,2119.0,14.0,14.0,0.0,7.0,498.0,60336.0,60394.0,10.0,1.0,8.1,3.0,4.33,171082.0
Steel,steel (1997),1.0,26.0,0.0,97.0,846.0,93.0,93.0,0.0,12.0,920.0,14817.0,0.0,0.0,0.0,0.0,3.0,2.33,1710972.0
The Internship,internship  the (2013),0.0,1.0,3.0,119.0,120.0,22.0,22.0,0.0,7.0,92.0,212299.0,212508.0,10.0,1.0,6.3,10.0,3.55,4.4672764E7
Just One of the Guys,just one of the guys (1985),0.0,1.0,10.0,100.0,1670.0,32.0,32.0,1.0,5.0,1696.0,17182.0,17226.0,10.0,1.0,6.5,4.0,2.75,1.15289E7
Deadtime Stories,deadtime stories (1987),1.0,11.0,283.0,93.0,840.0,93.0,93.0,0.0,12.0,1566.0,2487.0,0.0,0.0,0.0,0.0,1.0,1.0,2750741.0
Saint Ralph,saint ralph (2004),0.0,2.0,34.0,98.0,901.0,7.0,7.0,0.0,5.0,2550.0,6292.0,6293.0,10.0,1.0,7.4,1.0,2.5,489389.0
The Visitor,visitor  the (2007),0.0,4.0,61.0,104.0,2166.0,10.0,10.0,0.0,11.0,424.0,44156.0,44177.0,10.0,1.0,7.6,1.0,4.5,9427089.0
We're No Angels,we're no angels (1955),0.0,31.0,4.0,106.0,346.0,57.0,57.0,0.0,6.0,503.0,10396.0,10414.0,10.0,1.0,7.4,1.0,4.5,1.0555348E7
Twilight Zone: The Movie,twilight zone: the movie (1983),0.0,249.0,0.0,101.0,141.0,35.0,35.0,0.0,7.0,1191.0,40323.0,40416.0,10.0,1.0,6.4,3.0,3.0,2.9450919E7
Bean,bean (1997),0.0,1.0,26.0,89.0,393.0,14.0,14.0,0.0,4.0,451.0,109361.0,109461.0,10.0,1.0,6.5,16.0,2.97,4.5319423E7
Playing God,playing god (1997),0.0,10.0,2.0,94.0,267.0,14.0,14.0,0.0,0.0,2402.0,7881.0,7888.0,10.0,1.0,5.6,3.0,2.5,4166918.0
The Hours,hours  the (2002),0.0,4.0,4.0,110.0,25.0,2.0,2.0,1.0,9.0,388.0,136777.0,136914.0,10.0,1.0,7.5,15.0,3.7,4.1675994E7
Lost in Translation,lost in translation (2003),0.0,5.0,15.0,102.0,49.0,2.0,2.0,0.0,0.0,195.0,476913.0,477749.0,10.0,1.0,7.7,74.0,4.03,4.4585453E7
Inside Llewyn Davis,inside llewyn davis (2013),0.0,0.0,68.0,104.0,807.0,16.0,16.0,0.0,10.0,147.0,160456.0,160659.0,10.0,1.0,7.4,7.0,3.64,1.3235319E7
Pulse,pulse (kairo) (2001),0.0,45.0,50.0,119.0,1450.0,7.0,7.0,0.0,4.0,1855.0,24359.0,24459.0,10.0,1.0,6.5,1.0,3.0,2.0264436E7
The Ice Storm,ice storm  the (1997),0.0,0.0,11.0,112.0,114.0,14.0,14.0,0.0,4.0,30.0,58847.0,58921.0,10.0,1.0,7.3,17.0,3.88,8038061.0
Miracle Mile,miracle mile (1989),0.0,84.0,111.0,87.0,586.0,27.0,27.0,0.0,11.0,1555.0,11924.0,11944.0,10.0,1.0,7.0,2.0,3.5,1145404.0
2 Guns,2 guns (2013),0.0,27.0,1.0,109.0,6.0,22.0,22.0,0.0,1.0,585.0,221903.0,222167.0,10.0,1.0,6.7,3.0,4.0,7.561246E7
The Stoning of Soraya M.,stoning of soraya m.  the (2008),0.0,8.0,32.0,116.0,2291.0,19.0,19.0,1.0,0.0,2063.0,21454.0,21472.0,10.0,1.0,7.9,1.0,4.5,637421.0
Little Ashes,little ashes (2008),0.0,0.0,60.0,112.0,390.0,19.0,19.0,0.0,11.0,2020.0,9536.0,9545.0,10.0,1.0,6.4,1.0,2.5,481586.0
Boiler Room,boiler room (2000),0.0,10.0,9.0,120.0,681.0,13.0,13.0,0.0,9.0,1074.0,55677.0,55732.0,10.0,1.0,7.0,21.0,3.71,1.6970581E7
Band of the Hand,band of the hand (1986),0.0,28.0,12.0,109.0,404.0,30.0,30.0,0.0,5.0,265.0,3170.0,3176.0,10.0,1.0,6.1,1.0,1.0,4865912.0
Life and Debt,life and debt (2001),0.0,6.0,65.0,80.0,1036.0,2.0,2.0,1.0,9.0,1397.0,1023.0,1024.0,10.0,1.0,7.4,1.0,4.0,263107.0
Annabelle: Creation,annabelle: creation (2017),0.0,11.0,25.0,109.0,426.0,31.0,31.0,0.0,1.0,1125.0,147150.0,147574.0,10.0,1.0,6.5,1.0,4.0,1.02092201E8
Back to School,back to school (1986),0.0,1.0,17.0,96.0,391.0,30.0,30.0,0.0,7.0,973.0,35254.0,35304.0,10.0,1.0,6.6,16.0,2.91,9.1258E7
Original Sin,original sin (2001),0.0,91.0,7.0,116.0,93.0,4.0,4.0,0.0,1.0,811.0,58882.0,58949.0,10.0,1.0,6.0,2.0,2.75,1.6534221E7
On a Clear Day,on a clear day (2005),1.0,0.0,15.0,95.0,536.0,93.0,93.0,0.0,12.0,1565.0,3360.0,0.0,0.0,0.0,0.0,1.0,2.0,191033.0
Passengers,passengers (2016),0.0,307.0,5.0,116.0,183.0,20.0,20.0,1.0,3.0,656.0,432538.0,433343.0,10.0,1.0,7.0,6.0,3.67,292437.0
eXistenZ,existenz (1999),0.0,22.0,6.0,97.0,188.0,12.0,12.0,0.0,5.0,23.0,105142.0,105298.0,10.0,1.0,6.8,22.0,3.86,2856712.0
Terri,terri (2011),0.0,1.0,144.0,105.0,356.0,15.0,15.0,0.0,1.0,1787.0,10219.0,10222.0,10.0,1.0,6.5,2.0,3.5,655802.0
The Cup,cup  the (phörpa) (1999),0.0,1.0,23.0,93.0,2055.0,13.0,13.0,0.0,5.0,2061.0,3307.0,3333.0,10.0,1.0,6.9,2.0,4.5,1079108.0
The January Man,january man  the (1989),0.0,192.0,7.0,97.0,114.0,27.0,27.0,0.0,10.0,438.0,8973.0,8987.0,10.0,1.0,5.5,1.0,2.0,4611062.0
The Glimmer Man,glimmer man  the (1996),0.0,18.0,0.0,91.0,162.0,8.0,8.0,0.0,0.0,879.0,20948.0,20974.0,10.0,1.0,5.4,6.0,3.0,2.0351264E7
Godsend,godsend (2004),0.0,33.0,14.0,102.0,4.0,5.0,5.0,0.0,5.0,2514.0,26250.0,26258.0,10.0,1.0,4.8,2.0,2.5,1.4379751E7
My Favorite Martian,my favorite martian (1999),0.0,35.0,2.0,94.0,1174.0,12.0,12.0,0.0,9.0,94.0,14221.0,14235.0,10.0,1.0,5.1,5.0,2.1,3.6850101E7
Immortal Beloved,immortal beloved (1994),0.0,4.0,5.0,121.0,142.0,9.0,9.0,0.0,10.0,443.0,25836.0,25864.0,10.0,1.0,7.4,18.0,3.72,9914409.0
The Pledge,pledge  the (2001),0.0,39.0,0.0,124.0,29.0,4.0,4.0,0.0,10.0,481.0,64919.0,65096.0,10.0,1.0,6.8,7.0,3.29,1.9733089E7
The Other Guys,other guys  the (2010),0.0,13.0,5.0,107.0,39.0,18.0,18.0,0.0,1.0,233.0,282279.0,282584.0,10.0,1.0,6.6,21.0,3.26,1.19219978E8
Lethal Weapon 3,lethal weapon 3 (1992),0.0,105.0,0.0,118.0,9.0,24.0,24.0,0.0,11.0,15.0,175605.0,175777.0,10.0,1.0,6.7,46.0,2.93,1.44731527E8
28 Weeks Later,28 weeks later (2007),0.0,41.0,128.0,100.0,280.0,1.0,1.0,0.0,11.0,847.0,288090.0,288424.0,10.0,1.0,6.9,21.0,3.6,2.8638916E7
Special,special (2006),0.0,63.0,16.0,81.0,1947.0,3.0,3.0,0.0,4.0,2538.0,5881.0,5885.0,10.0,1.0,6.8,1.0,3.5,7202.0
Tomboy,tomboy (2011),0.0,0.0,156.0,82.0,2500.0,17.0,17.0,1.0,5.0,2629.0,21884.0,21911.0,10.0,1.0,7.4,1.0,3.0,1.41E7
My Bodyguard,my bodyguard (1980),0.0,0.0,3.0,96.0,1162.0,36.0,36.0,0.0,6.0,520.0,10593.0,10614.0,10.0,1.0,7.1,7.0,3.86,2.2482952E7
Teen Wolf,teen wolf (1985),0.0,38.0,80.0,91.0,44.0,32.0,32.0,0.0,1.0,389.0,58194.0,58307.0,10.0,1.0,6.1,7.0,3.14,3.3086611E7
