title,studio,genres,numVotes,directors,category,primaryName,title_lc,contentRate,rlYr,type,rlMnth,rnTimeMin,gross,imdbRtCnt,imdbRtBest,imdbRtWorst,imdbRtAvg,slRateCnt,slRateAvg
Josie and the Pussycats,Uni.,comedy,24363,"nm0253323,nm0438226",actress,Rachael Leigh Cook,josie and the pussycats (2001),"","","","",98,14271015,"","","","",6,1.75
Walking Tall,MGM,action,108920,nm0106230,actor,Dwayne Johnson,walking tall (2004),pg-13,2004,movie,4,86,46437717,108991,10,1,6.3,6,3.0
The Mummy,Uni.,action|adventure|fantasy|horror|thriller,200838,nm0476064,actor,Tom Cruise,the mummy (2017),pg-13,2017,movie,6,111,155385488,201635,10,1,5.4,1,3.5
Bella,RAtt.,drama|romance,10955,nm1920049,actor,Eduardo Verástegui,bella (2006),pg-13,2007,movie,11,91,8070537,10957,10,1,7.1,1,3.5
Breathless,Orion,crime|drama|romance,86195,nm0000419,actor,Jean-Paul Belmondo,breathless (à bout de souffle) (1960),not rated,1961,movie,2,90,19910002,86319,10,1,7.7,8,3.94
Meet Dave,Fox,adventure|children|comedy|romance|sci-fi,42992,nm0005367,actor,Eddie Murphy,meet dave (2008),pg,2008,movie,7,90,11803254,43038,10,1,5.1,2,3.5
How to Train Your Dragon,P/DW,adventure|animation|children|fantasy|imax,779665,"nm0213450,nm0761498",actor,Jay Baruchel,how to train your dragon (2010),pg,2010,movie,3,98,217581231,780904,10,1,8.1,53,3.94
Like Crazy,ParV,drama|romance,62911,nm2035886,actress,Felicity Jones,like crazy (2011),pg-13,2012,movie,1,86,3395391,62937,10,1,6.6,2,2.5
Office Christmas Party,Par.,comedy,84599,"nm0817447,nm0330347",actor,Jason Bateman,office christmas party (2016),r,2016,movie,12,105,54767494,84713,10,1,5.9,3,3.5
Loving Vincent,Good Deed,animation|crime|drama,61869,"nm3699790,nm1364790",actor,Douglas Booth,loving vincent (2017),pg-13,2017,movie,9,94,6735118,62004,10,1,7.8,1,5.0
Taps,Fox,drama,19694,nm0000887,actor,George C. Scott,taps (1981),pg,1981,movie,12,126,35856053,19711,10,1,6.7,1,4.0
Patch Adams,Uni.,comedy|drama,120113,nm0001723,actor,Robin Williams,patch adams (1998),pg-13,1998,movie,12,115,135026902,120269,10,1,6.8,27,3.37
The Love Guru,Par.,comedy,54384,nm0773605,actor,Mike Myers,love guru  the (2008),pg-13,2008,movie,6,87,32235793,54432,10,1,3.8,4,2.13
Porky's,Fox,comedy,44898,nm0163706,actor,Dan Monahan,porky's (1982),r,1982,movie,3,94,111289673,44963,10,1,6.2,11,2.14
Flesh and Bone,Par.,drama|mystery|romance,6142,nm0460141,actor,Dennis Quaid,flesh and bone (1993),r,1993,movie,11,126,9709451,6149,10,1,6.2,1,4.0
Down Terrace,Magn.,comedy|crime|drama,4109,nm1296554,actor,Robin Hill,down terrace (2009),r,2010,movie,10,93,9812,4110,10,1,6.4,1,4.0
Walk of Shame,FCW,comedy,56408,nm0109359,actress,Elizabeth Banks,walk of shame (2014),r,2014,movie,5,95,59209,56469,10,1,6.0,1,2.5
Remember the Titans,BV,drama,227152,nm0945026,actor,Denzel Washington,remember the titans (2000),pg,2000,movie,9,113,115654751,227474,10,1,7.8,41,3.74
The Town,WB,crime|drama|thriller,407853,nm0000255,actor,Ben Affleck,town  the (2010),r,2010,movie,9,125,92186262,408305,10,1,7.5,22,3.95
Memories of Me,MGM,comedy|drama,1213,nm0001857,actor,Billy Crystal,memories of me (1988),pg-13,1988,movie,10,105,3965604,1215,10,1,5.7,1,2.5
Camp Nowhere,BV,adventure|children|comedy,10445,nm0697676,actor,Jonathan Jackson,camp nowhere (1994),pg,1994,movie,8,96,10475705,10461,10,1,6.0,4,2.5
Bush's Brain,Tar.,documentary,931,"nm0794848,nm0575136",self,Cathy Bonner,bush's brain (2004),pg-13,2004,movie,3,80,177525,933,10,1,6.7,1,3.0
My Kid Could Paint That,SPC,documentary,3471,nm0052737,self,Marla Olmstead,my kid could paint that (2007),pg-13,2007,movie,12,82,231574,3475,10,1,7.1,1,4.5
Barbershop: The Next Cut,WB (NL),comedy,15850,nm0002700,actor,Ice Cube,barbershop: the next cut (2016),pg-13,2016,movie,4,111,54030051,15862,10,1,5.9,1,2.5
Artemisia,Mira.,drama,2186,nm0580982,actress,Valentina Cervi,artemisia (1997),"","","","",98,356749,"","","","",2,4.0
Nancy Drew,WB,adventure|crime|thriller,21282,nm0281598,actress,Emma Roberts,nancy drew (2007),pg,2007,movie,6,99,25612520,21305,10,1,5.9,3,2.83
Anywhere But Here,Fox,comedy|drama,18482,nm0911061,actress,Susan Sarandon,anywhere but here (1999),"","","","",114,18670401,"","","","",3,2.5
Together,IFC,drama,4447,nm0155280,actor,Yun Tang,together (han ni zai yiki) (2002),pg,2003,movie,6,116,1034829,4450,10,1,7.4,1,3.0
Tremors,Uni.,comedy|horror|sci-fi,146265,nm0881038,actor,Kevin Bacon,tremors (1990),pg-13,1990,movie,1,96,16667084,146505,10,1,7.1,16,3.44
Making the Grade,Can.,comedy,1585,nm0907697,actor,Judd Nelson,making the grade (1984),"","","","",105,4561346,"","","","",1,2.0
Philadelphia,TriS,drama,253175,nm0001129,actor,Tom Hanks,philadelphia (1993),pg-13,1994,movie,1,125,77446440,253470,10,1,7.7,66,3.61
The Final Cut,Lions,sci-fi|thriller,34050,nm0619715,actor,Robin Williams,final cut  the (2004),pg-13,2004,movie,11,95,551281,34065,10,1,6.1,3,3.67
The Girl Next Door,Fox,crime|drama|horror|thriller,28653,nm0933471,actor,William Atherton,girl next door  the (2007),r,2008,movie,10,91,14589444,28723,10,1,6.5,2,3.75
Three Wishes,Sav.,drama|fantasy,3209,nm0004838,actor,Patrick Swayze,three wishes (1995),pg,1995,movie,10,115,7027517,3214,10,1,6.1,1,3.0
Simon Birch,BV,drama,21974,nm0425756,actor,Ian Michael Smith,simon birch (1998),"","","","",114,18253415,"","","","",9,3.0
24 Hour Party People,MGM,comedy|drama|musical,38965,nm0935863,actor,Steve Coogan,24 hour party people (2002),"","","","",117,1184096,"","","","",7,3.57
Happy Feet,WB,adventure|animation|children|comedy|imax,196010,"nm0004306,nm0606688,nm0171253",actor,Elijah Wood,happy feet (2006),pg,2006,movie,11,108,198000317,196296,10,1,6.4,11,2.68
While You Were Sleeping,BV,comedy|romance,110112,nm0005509,actress,Sandra Bullock,while you were sleeping (1995),"","","","",103,81057016,"","","","",98,3.47
Once Upon a Time in the Midlands,SPC,drama,4690,nm0276349,actor,Robert Carlyle,once upon a time in the midlands (2002),"","","","",104,172564,"","","","",1,3.0
Home Alone 3,Fox,children|comedy,123023,nm0331532,actor,Alex D. Linz,home alone 3 (1997),pg,1997,movie,12,102,30882515,123206,10,1,4.6,8,1.88
Gimme Danger,Magn.,documentary,6352,nm0000464,self,Iggy Pop,gimme danger (2016),r,2016,movie,8,108,440627,6359,10,1,7.2,1,2.0
Pride,LGF,comedy|drama,60568,nm0911334,actor,Bill Nighy,pride (2014),r,2014,movie,9,119,7057600,60620,10,1,7.8,2,4.0
Days of Heaven,Par.,drama,61241,nm0000517,actor,Richard Gere,days of heaven (1978),pg,1978,movie,10,94,3446749,61330,10,1,7.8,3,3.67
The Fate of the Furious,Uni.,action|crime|drama|thriller,248092,nm0336620,actor,Vin Diesel,the fate of the furious (2017),pg-13,2017,movie,4,136,226008385,248406,10,1,6.6,3,2.33
The Sugarland Express,Uni.,drama,18565,nm0000229,actress,Goldie Hawn,sugarland express  the (1974),pg,1974,movie,5,110,7500000,18623,10,1,6.7,2,3.0
Shiri,IDP,action|drama|romance|thriller,8461,nm0437625,actor,Han Suk-kyu,shiri (swiri) (1999),r,1999,movie,2,125,98452,8466,10,1,6.5,1,3.5
City of Ember,Fox,adventure|children|sci-fi,68836,nm1481493,actress,Saoirse Ronan,city of ember (2008),pg,2008,movie,10,90,7873007,68876,10,1,6.4,3,2.83
Vegas Vacation,WB,comedy,52133,nm0450387,actor,Chevy Chase,vegas vacation (national lampoon's las vegas vacation) (1997),pg,1997,movie,2,93,36400360,52211,10,1,5.9,8,2.31
Shanghai Noon,BV,action|adventure|comedy|western,133306,nm0223359,actor,Jackie Chan,shanghai noon (2000),"","","","",110,56937502,"","","","",43,3.15
Two If by Sea,WB,comedy|romance,6244,nm0071611,actress,Sandra Bullock,two if by sea (1996),"","","","",96,10658278,"","","","",5,2.2
Magnolia,NL,drama,323764,nm0000759,actor,Tom Cruise,magnolia (1999),r,2000,movie,1,188,22455976,324127,10,1,8.0,52,3.71
She's Out of My League,Par.,comedy,142021,nm1637768,actor,Jay Baruchel,she's out of my league (2010),r,2010,movie,3,104,32010860,142154,10,1,6.4,9,3.22
Evangelion: 3.0 You Can (Not) Redo,Elev.,action|animation|drama,17645,"nm0535340,nm0556094,nm0875453,nm0030417,nm1002694",actress,Megumi Ogata,evangelion: 3.0 you can (not) redo (2012),tv-14,2012,movie,11,96,174945,17708,10,1,6.9,3,2.5
The Fugitive,WB,thriller,310726,nm0001112,actor,Harrison Ford,fugitive  the (1993),pg-13,1993,movie,8,130,183875760,311141,10,1,7.8,190,3.99
Thumbsucker,SPC,comedy|drama,21820,nm0590122,actor,Lou Taylor Pucci,thumbsucker (2005),r,2005,movie,10,96,1328679,21829,10,1,6.5,3,3.33
Cocoon,Fox,comedy|sci-fi,67208,nm0000165,actor,Don Ameche,cocoon (1985),pg-13,1985,movie,6,117,76113124,67323,10,1,6.7,43,3.27
Life Stinks,MGM,comedy,11123,nm0000316,actor,Mel Brooks,life stinks (1991),pg-13,1991,movie,7,92,4102526,11137,10,1,5.9,2,1.5
Unleashed,Rog.,action|crime|drama|thriller,106864,nm0504642,actor,Jet Li,unleashed (danny the dog) (2005),"","","","",103,24537621,"","","","",9,3.44
8 Seconds,NL,drama,5600,nm0000814,actor,Luke Perry,8 seconds (1994),pg-13,1994,movie,2,105,19623396,5609,10,1,6.6,2,3.0
High Art,Oct.,drama|romance,10979,nm0158966,actress,Radha Mitchell,high art (1998),r,1998,movie,6,101,1960216,10994,10,1,6.6,2,3.5
Rise of the Guardians,P/DW,adventure|animation|children|fantasy|imax,187895,nm0709056,actor,Hugh Jackman,rise of the guardians (2012),pg,2012,movie,11,97,103412758,188236,10,1,7.2,12,3.79
Evan Almighty,Uni.,comedy|fantasy,152973,nm0001723,actor,Steve Carell,evan almighty (2007),pg,2007,movie,6,96,100462298,153091,10,1,5.4,13,2.54
The Fly II,Fox,horror|sci-fi,24261,nm0906901,actor,Eric Stoltz,fly ii  the (1989),r,1989,movie,2,105,20021322,24296,10,1,5.1,9,2.28
Waco: The Rules of Engagement,Som.,documentary,3694,nm0311086,actor,Dan Gifford,waco: the rules of engagement (1997),not rated,1997,movie,9,136,142193,3695,10,1,7.9,1,3.5
Paper Clips,Slow,documentary,1771,"nm1198362,nm1452675",self,Sandra Roberts,paper clips (2004),g,2006,movie,8,82,1121744,1771,10,1,7.3,2,3.25
In the Line of Fire,Col.,action|thriller,111007,nm0000583,actor,Clint Eastwood,in the line of fire (1993),r,1993,movie,7,128,102314823,111214,10,1,7.2,70,3.69
Bowfinger,Uni.,comedy,73022,nm0000568,actor,Steve Martin,bowfinger (1999),pg-13,1999,movie,8,97,66384775,73075,10,1,6.5,38,2.96
Shall We Dance,Mira.,comedy|romance,48803,nm0155093,actor,Richard Gere,shall we dance? (2004),pg-13,2004,movie,10,106,57890460,48842,10,1,6.2,3,3.0
The Losers,WB,action|adventure|drama|mystery|thriller,105956,nm1234893,actor,Idris Elba,losers  the (2010),pg-13,2010,movie,4,97,23591432,106025,10,1,6.2,3,3.0
The Pagemaster,Fox,action|adventure|animation|children|fantasy,24980,"nm0402563,nm0002653",actor,Macaulay Culkin,pagemaster  the (1994),"","","","",80,13670688,"","","","",8,2.94
Bolt,BV,action|adventure|animation|children|comedy,223855,"nm0397174,nm0930261",actor,John Travolta,bolt (2008),pg,2008,movie,11,96,114053579,224200,10,1,6.8,18,3.39
Juno,FoxS,comedy|drama|romance,541335,nm0718646,actor,Elliot Page,juno (2007),pg-13,2007,movie,12,96,143495265,541818,10,1,7.5,65,3.77
The Wizard of Oz,MGM,adventure|children|fantasy|musical,418641,"nm0281808,nm0896542",actress,Judy Garland,wizard of oz  the (1939),"","","","",102,24770492,"","","","",92,3.88
The Cabin in the Woods,LGF,comedy|horror|sci-fi|thriller,440951,nm1206844,actress,Kristen Connolly,cabin in the woods  the (2012),r,2012,movie,4,95,42073277,441772,10,1,7.0,22,4.02
Indignation,RAtt.,drama,12500,nm0770005,actor,Logan Lerman,indignation (2016),r,2016,movie,11,110,3401155,12508,10,1,6.7,1,5.0
Funny Bones,BV,comedy|drama,3851,nm0155093,actor,Jerry Lewis,funny bones (1995),"","","","",128,532268,"","","","",2,2.75
Buddy,Sony,adventure|children|drama,2772,nm0003031,actress,Rene Russo,buddy (1997),"","","","",84,10113400,"","","","",3,2.17
Outlander,TRR,action|adventure|sci-fi,77760,nm0564586,actor,Jim Caviezel,outlander (2008),r,2008,movie,7,115,166003,77796,10,1,6.2,3,3.33
Warrior,LGF,drama,489387,nm0640334,actor,Tom Hardy,warrior (2011),"","","","",140,13657115,"","","","",11,3.73
The Chorus,Mira.,drama,65778,nm0056725,actor,Gérard Jugnot,chorus  the (choristes  les) (2004),pg-13,2004,movie,3,97,3635164,65882,10,1,7.8,11,3.91
Under the Skin,Arro.,horror|sci-fi|thriller,153007,nm0322242,actress,Scarlett Johansson,under the skin (2013),r,2014,movie,4,108,140254,153315,10,1,6.3,2,2.75
Man of the House,Sony,action|comedy,24890,nm0378893,actor,Tommy Lee Jones,man of the house (2005),"","","","",100,19699706,"","","","",1,3.0
Room,A24,drama,440490,nm1049433,actress,Brie Larson,room (2015),r,2016,movie,1,118,14677654,441201,10,1,8.1,8,3.56
Mrs. Doubtfire,Fox,comedy|drama,283481,nm0001060,actor,Robin Williams,mrs. doubtfire (1993),pg-13,1993,movie,11,125,219195243,283942,10,1,7.1,144,3.39
A League of Their Own,Sony,comedy|drama,117989,nm0001508,actor,Tom Hanks,league of their own  a (1992),pg,1992,movie,7,128,107533928,118190,10,1,7.3,45,3.47
49 Up,FRun,documentary,2967,"nm0000776,nm0021975",self,Bruce Balden,49 up (2005),not rated,2005,movie,9,180,241772,2970,10,1,8.1,2,4.0
Satanic,Magn.,horror,6989,nm0402493,actress,Sarah Hyland,satanic (2016),r,2016,movie,7,85,252,6994,10,1,3.7,1,0.5
The Impossible,LG/S,drama|thriller,235754,nm1291105,actress,Naomi Watts,impossible  the (imposible  lo) (2012),pg-13,2013,movie,1,114,19019882,236411,10,1,7.5,3,3.67
I Capture the Castle,IDP,drama|romance,7872,nm0299563,actress,Romola Garai,i capture the castle (2003),r,2003,movie,8,113,1179035,7877,10,1,6.8,1,4.5
This So-Called Disaster,IFC,documentary,259,nm0021899,self,Sam Shepard,this so-called disaster (2003),r,2003,movie,5,89,226658,260,10,1,6.3,1,3.5
Hope Floats,Fox,comedy|drama|romance,29447,nm0001845,actress,Sandra Bullock,hope floats (1998),pg-13,1998,movie,5,114,60053195,29483,10,1,6.0,3,2.67
Cat People,Uni.,drama|fantasy|horror,23367,nm0001707,actress,Nastassja Kinski,cat people (1982),"","","","",118,7000000,"","","","",8,2.81
To Live and Die in L.A.,MGM,action|crime|drama|thriller,37863,nm0001243,actor,William Petersen,to live and die in l.a. (1985),"","","","",116,17307019,"","","","",1,2.5
Milk Money,Par.,comedy|romance,12832,nm0000907,actress,Melanie Griffith,milk money (1994),pg-13,1994,movie,8,110,18137661,12850,10,1,5.6,22,3.25
The Greatest Game Ever Played,BV,drama,32768,nm0000200,actor,Shia LaBeouf,greatest game ever played  the (2005),pg,2005,movie,9,120,15337393,32819,10,1,7.4,5,3.3
Skin Deep,Fox,comedy,4986,nm0001175,actor,John Ritter,skin deep (1989),r,1989,movie,3,101,19674852,4995,10,1,6.1,1,3.0
Big Fat Liar,Uni.,children|comedy,38743,nm0506613,actor,Frankie Muniz,big fat liar (2002),pg,2002,movie,2,88,48360547,38782,10,1,5.5,5,3.0
The Jerk,Uni.,comedy,62697,nm0005348,actor,Steve Martin,jerk  the (1979),r,1979,movie,12,94,73691419,62805,10,1,7.1,27,3.37
The Air Up There,Mira.,comedy,9377,nm0001274,actor,Kevin Bacon,air up there  the (1994),pg,1994,movie,1,107,21011318,9383,10,1,5.6,6,2.33
The Man Who Knew Too Little,WB,comedy|crime|thriller,33811,nm0000750,actor,Bill Murray,man who knew too little  the (1997),"","","","",94,13717039,"","","","",7,2.21
Maleficent,BV,action|adventure|children|imax,393436,nm0834902,actress,Angelina Jolie,maleficent (2014),pg,2014,movie,5,97,241410378,393907,10,1,6.9,16,2.75
Bloodsport,Can.,action,91486,nm0036582,actor,Jean-Claude Van Damme,bloodsport (1988),r,1988,movie,4,92,11806119,91669,10,1,6.8,9,2.94
Lucky Break,Par.,comedy|crime,2260,nm0146341,actor,Ron Cook,lucky break (2001),pg-13,2002,movie,4,107,54606,2261,10,1,6.2,1,4.0
Shallow Hal,Fox,comedy|fantasy|romance,141127,"nm0125803,nm0268380",actor,Jack Black,shallow hal (2001),"","","","",114,70839203,"","","","",31,3.03
Seven Samurai,Col.,action|adventure|drama,359650,nm0000041,actor,Toshirô Mifune,seven samurai (shichinin no samurai) (1954),not rated,1956,movie,11,207,271841,360070,10,1,8.6,48,4.19
Bhaji on the Beach,First,comedy|drama,1217,nm0149446,actress,Kim Vithana,bhaji on the beach (1993),r,"",movie,"",101,734634,1217,10,1,6.4,2,3.5
Total Recall,Sony,action|sci-fi|thriller,262995,nm0936482,actor,Colin Farrell,total recall (2012),pg-13,2012,movie,8,118,119412921,263236,10,1,6.2,8,3.19
Alfie,Par.,comedy|drama|romance,15467,nm0318150,actor,Michael Caine,alfie (1966),unrated,1966,movie,8,114,13399812,15487,10,1,7.0,4,3.25
Continental Divide,Uni.,comedy|romance,5529,nm0000776,actor,John Belushi,continental divide (1981),"","","","",103,15578237,"","","","",1,5.0
Hush,Sony,thriller,13048,nm0200978,actress,Jessica Lange,hush (1998),"","","","",96,13583690,"","","","",2,2.0
The Comebacks,FoxA,comedy,11954,nm0103744,actor,David Koechner,comebacks  the (2007),pg-13,2007,movie,10,107,13349927,11959,10,1,4.3,2,0.75
"The Good, the Bad and the Ugly",UA,action|adventure|western,793254,nm0001466,actor,Clint Eastwood,good  the bad and the ugly  the (buono  il brutto  il cattivo  il) (1966),"","","","",161,25100000,"","","","",72,4.15
Let It Ride,Par.,comedy,6761,nm0701592,actor,Richard Dreyfuss,let it ride (1989),pg-13,1989,movie,8,90,4973285,6772,10,1,6.8,2,3.5
The Hot Spot,Orion,crime|drama|romance,13100,nm0000454,actor,Don Johnson,hot spot  the (1990),r,1990,movie,10,130,1293976,13118,10,1,6.4,2,3.0
Push,Sum.,sci-fi|thriller,114574,nm0006476,actress,Camilla Belle,push (2009),pg-13,2009,movie,2,111,31811527,114630,10,1,6.1,2,3.0
Safety Not Guaranteed,FD,comedy|drama,129732,nm1119880,actress,Aubrey Plaza,safety not guaranteed (2012),r,2012,movie,6,86,4010957,129815,10,1,6.9,6,3.75
A Cry in the Dark,WB,drama,11019,nm0770961,actress,Meryl Streep,cry in the dark  a (1988),"","","","",120,6908797,"","","","",2,3.75
Vanilla Sky,Par.,mystery|romance|sci-fi|thriller,281012,nm0001081,actor,Tom Cruise,vanilla sky (2001),r,2001,movie,12,136,100618344,281297,10,1,6.9,44,3.42
Sweetie,Ave,drama,5150,nm0001005,actress,Geneviève Lemon,sweetie (1989),"","","","",97,938065,"","","","",1,3.5
The Muppet Christmas Carol,BV,children|comedy|musical,65093,nm0005008,actor,Michael Caine,muppet christmas carol  the (1992),g,1992,movie,12,85,27281507,65275,10,1,7.7,19,3.74
Freddy Got Fingered,Fox,comedy,50465,nm0338381,actor,Tom Green,freddy got fingered (2001),r,2001,movie,4,87,14254993,50532,10,1,4.6,10,2.2
Zack and Miri Make a Porno,Wein.,comedy|drama|romance,181034,nm0003620,actor,Seth Rogen,zack and miri make a porno (2008),r,2008,movie,10,101,31457946,181104,10,1,6.5,21,3.52
Carpool,WB,comedy|crime,5176,nm0002137,actor,Tom Arnold,carpool (1996),pg,1996,movie,8,89,3325651,5185,10,1,5.0,2,1.75
Chuck & Buck,Art.,comedy|drama,5803,nm0037708,actor,Mike White,chuck & buck (2000),r,2000,movie,8,96,1055671,5806,10,1,6.6,2,2.5
Under Siege,WB,action|drama|thriller,93220,nm0001112,actor,Steven Seagal,under siege (1992),r,1992,movie,10,103,83563139,93413,10,1,6.5,24,2.85
Dazed and Confused,Gram.,comedy,195027,nm0000500,actor,Jason London,dazed and confused (1993),r,1993,movie,9,103,7993039,195340,10,1,7.6,42,3.93
"He Loves Me, He Loves Me Not",IDP,romance|thriller,19403,nm0172989,actress,Audrey Tautou,he loves me... he loves me not (à la folie... pas du tout) (2002),pg-13,2002,movie,3,92,1011102,19408,10,1,7.1,1,4.5
Liam,Lions,drama,2660,nm0001241,actor,Anthony Borrows,liam (2000),r,2001,movie,10,90,1016021,2661,10,1,6.9,2,2.0
Victor/Victoria,MGM,comedy|musical|romance,23133,nm0001175,actress,Julie Andrews,victor/victoria (1982),pg,1982,movie,3,134,28215453,23166,10,1,7.6,12,3.54
Superman Returns,WB,action|adventure|sci-fi|imax,289300,nm0001741,actor,Brandon Routh,superman returns (2006),pg-13,2006,movie,6,154,200081192,289399,10,1,6.1,25,3.08
Swiss Army Man,A24,comedy|drama|romance,130822,"nm3453283,nm3215397",actor,Paul Dano,swiss army man (2016),r,2016,movie,7,97,4210454,131033,10,1,6.9,2,3.25
Monsoon Wedding,USA,comedy|romance,26414,nm0619762,actor,Naseeruddin Shah,monsoon wedding (2001),r,2002,movie,4,114,13885966,26433,10,1,7.3,12,3.83
Nightcrawler,ORF,crime|drama|thriller,586458,nm0319659,actor,Jake Gyllenhaal,nightcrawler (2014),r,2014,movie,10,117,32381217,587594,10,1,7.8,18,4.17
When the Cat's Away,SPC,comedy|romance,3557,nm0458251,actress,Garance Clavel,when the cat's away (chacun cherche son chat) (1996),r,1997,movie,6,91,1474628,3560,10,1,6.9,2,4.5
The Negotiator,WB,action|crime|drama|mystery|thriller,151381,nm0336620,actor,Samuel L. Jackson,negotiator  the (1998),r,1998,movie,7,140,44547681,151950,10,1,7.3,30,3.35
The Astronaut's Wife,NL,horror|sci-fi|thriller,56953,nm0712444,actress,Charlize Theron,astronaut's wife  the (1999),r,1999,movie,8,109,10672566,56978,10,1,5.4,11,2.27
Roger Dodger,Art.,comedy|drama,17812,nm1071898,actor,Campbell Scott,roger dodger (2002),r,2002,movie,11,106,1266828,17819,10,1,6.9,6,3.67
Swiss Family Robinson,Dis.,adventure|children,17660,nm0002175,actor,John Mills,swiss family robinson (1960),g,1960,movie,12,126,40356000,17694,10,1,7.1,10,3.5
The Handmaid's Tale,Cinc,drama|sci-fi,10397,nm0772522,actress,Natasha Richardson,handmaid's tale  the (1990),r,1990,movie,3,109,4960385,10429,10,1,6.0,1,3.5
District 9,TriS,mystery|sci-fi|thriller,705269,nm0088955,actor,Sharlto Copley,district 9 (2009),r,2009,movie,8,112,115646235,705984,10,1,7.9,65,3.78
La Cage aux Folles,MGM,comedy,11644,nm0596850,actor,Ugo Tognazzi,cage aux folles  la (1978),r,1979,movie,5,97,20424259,11660,10,1,7.2,1,3.0
An Ideal Husband,Mira.,comedy|romance,16513,nm0662529,actor,Rupert Everett,ideal husband  an (1999),pg-13,1999,movie,6,97,18542974,16538,10,1,6.8,10,3.7
Wildcats,WB,comedy,14376,nm0006916,actress,Goldie Hawn,wildcats (1986),r,1986,movie,2,106,26285544,14395,10,1,6.0,3,1.83
Wild Things,Sony,crime|drama|mystery|thriller,127578,nm0573796,actor,Kevin Bacon,wild things (1998),r,1998,movie,3,108,30147739,127760,10,1,6.6,31,3.02
Coffee and Cigarettes,UA,comedy|drama,66456,nm0000464,actor,Bill Murray,coffee and cigarettes (2003),r,2004,movie,6,95,2198924,66519,10,1,7.0,6,3.58
The Lookout,Mira.,crime|drama|thriller,60164,nm0291082,actor,Joseph Gordon-Levitt,lookout  the (2007),r,2007,movie,3,99,4600585,60190,10,1,7.0,6,3.25
Wall Street: Money Never Sleeps,Fox,drama,105560,nm0000231,actor,Shia LaBeouf,wall street: money never sleeps (2010),pg-13,2010,movie,9,133,52474616,105631,10,1,6.2,3,3.17
Class Action,Fox,drama,8109,nm0000776,actor,Gene Hackman,class action (1991),r,1991,movie,3,110,24277858,8119,10,1,6.4,1,2.0
Open Hearts,NM,romance,10713,nm0081540,actress,Sonja Richter,open hearts (elsker dig for evigt) (2002),r,2002,movie,9,113,136170,10724,10,1,7.5,1,5.0
X-Men: Apocalypse,Fox,action|adventure|fantasy|sci-fi,452977,nm0001741,actor,James McAvoy,x-men: apocalypse (2016),pg-13,2016,movie,5,144,155442489,453507,10,1,6.9,14,3.07
A Family Thing,MGM,comedy|drama,3992,nm0669004,actor,Robert Duvall,family thing  a (1996),"","","","",109,10125417,"","","","",2,3.0
The Caveman's Valentine,Focus,drama,8058,nm0501435,actor,Samuel L. Jackson,caveman's valentine  the (2001),r,2001,movie,9,105,687194,8059,10,1,5.8,2,3.5
Last Action Hero,Col.,action|adventure|comedy|fantasy,160353,nm0001532,actor,Arnold Schwarzenegger,last action hero (1993),pg-13,1993,movie,6,130,50016394,160603,10,1,6.5,53,2.93
Richie Rich,WB,children|comedy,72157,nm0677953,actor,Macaulay Culkin,richie rich (1994),pg,1994,movie,12,95,38087756,72243,10,1,5.4,25,2.2
Harry Potter and the Chamber of Secrets,WB,adventure|fantasy,672024,nm0001060,actor,Daniel Radcliffe,harry potter and the chamber of secrets (2002),pg,2002,movie,11,161,262233983,673359,10,1,7.4,102,3.6
Piranha 3D,W/Dim.,action|horror|thriller,95365,nm0014960,actress,Elisabeth Shue,piranha (piranha 3d) (2010),r,2010,movie,8,88,25003155,95430,10,1,5.5,3,2.17
Smoke Signals,Mira.,comedy|drama,12354,nm0264220,actor,Adam Beach,smoke signals (1998),pg-13,1998,movie,11,89,6745362,12381,10,1,7.2,9,3.39
Maelstrom,All.,drama|romance,6982,nm0898288,actress,Marie-Josée Croze,maelström (2000),"","","","",87,254380,"","","","",1,4.0
Chef,ORF,comedy,226385,nm0269463,actor,Jon Favreau,chef (2014),r,2014,movie,5,114,31424003,226654,10,1,7.3,2,2.75
The Descent,LGF,adventure|drama|horror|thriller,240746,nm0551076,actress,Shauna Macdonald,descent  the (2005),r,2006,movie,8,99,26024456,241265,10,1,7.2,11,3.55
Only You,CL,comedy|romance,24771,nm0422484,actress,Marisa Tomei,only you (1994),pg,1994,movie,10,109,61565,24820,10,1,6.5,8,3.56
Basquiat,Mira.,drama,21557,nm0773603,actor,Jeffrey Wright,basquiat (1996),r,1996,movie,8,107,3011195,21578,10,1,6.9,6,2.83
Chasing Amy,Mira.,comedy|drama|romance,142257,nm0003620,actor,Ben Affleck,chasing amy (1997),r,1997,movie,4,113,12021272,142335,10,1,7.2,52,3.58
Cheaper by the Dozen,Fox,children|comedy,107091,nm0506613,actor,Steve Martin,cheaper by the dozen (2003),pg,2003,movie,12,98,138614544,107223,10,1,5.9,8,1.94
America's Sweethearts,SonR,comedy|romance,59474,nm0005387,actress,Julia Roberts,america's sweethearts (2001),pg-13,2001,movie,7,102,93607673,59516,10,1,5.7,18,2.58
Saw,Lions,horror|mystery|thriller,455104,nm1490123,actor,Cary Elwes,saw (2004),r,2004,movie,10,103,56000369,456945,10,1,7.6,33,3.18
Father of the Bride,BV,comedy,82243,nm0796124,actor,Steve Martin,father of the bride (1991),"","","","",105,89325780,"","","","",13,3.5
